Vehicle;Origin;Manufacturer;Mass to ... (kg);Mass to ... (kg);Mass to ... (kg);Launches (+ suborbital);Date of flight;Date of flight
Delta 1604;United States;McDonnell Douglas;390;;;2;1972;1973
Delta 1900;United States;McDonnell Douglas;1,800;;;1;1973;1973
Delta 1910;United States;McDonnell Douglas;1,066;;;1;1975;1975
Delta 1913;United States;McDonnell Douglas;328;;;1;1973;1973
Delta 1914;United States;McDonnell Douglas;;680;;2;1972;1973
Delta 2310;United States;McDonnell Douglas;336;;;3;1974;1981
Delta 2313;United States;McDonnell Douglas;;;243 to GEO;3;1974;1977
Delta 2910;United States;McDonnell Douglas;1,887;;;6;1975;1978
Delta 2913;United States;McDonnell Douglas;2,000;700;;6;1975;1976
Delta 2914;United States;McDonnell Douglas;;724;;30;1974;1979
Delta 3910;United States;McDonnell Douglas;2,494;1,154 with PAM-D;;10;1980;1988
Delta 3913;United States;McDonnell Douglas;816;;;1;1981;1981
Delta 3914;United States;McDonnell Douglas;;954;;13;1975;1987
Delta 3920;United States;McDonnell Douglas;3,452;1,284 with PAM-D;;10;1982;1989
Delta 3924;United States;McDonnell Douglas;;1,104;;4;1982;1984
Delta 4925;United States;McDonnell Douglas;3,400;1,312;;2;1989;1990
Delta 5920;United States;McDonnell Douglas;3,848;;;1;1989;1989
Delta II 6920;United States;McDonnell Douglas;3,983;;;3;1990;1992
Delta II 6925;United States;McDonnell Douglas;;1,447;;14;1989;1992
Delta II 7320;United States;Boeing IDS / ULA;2,865;;1,651 to SSO;12;1999;2015
Delta II 7326;United States;Boeing IDS;;934;636 to TLI 629 to HCO;3;1998;2001
Delta II 7420;United States;ULA;3,185;;1,966 to SSO;14;1998;2018
Delta II 7425;United States;Boeing IDS;;1,100;804 to HCO;4;1998;2002
Delta II 7426;United States;Boeing IDS;;1,058;734 to TLI 711 to HCO;1;1999;1999
Delta II 7920;United States;Boeing IDS / ULA;5,030;;3,123 to SSO;29;1998;2017
Delta II 7925;United States;Boeing IDS / ULA;;1,819;1,177 to TLI 1,265 to HCO;69;1990;2009
Delta II-H 7920H;United States;Boeing IDS / ULA;6,097;;;3;2003;2011
Delta II-H 7925H;United States;Boeing IDS / ULA;;2,171;1,508 to HCO;3;2003;2007
Delta III 8930;United States;Boeing IDS;8,292;3,810;;3;1998;2000
Delta IV M;United States;Boeing IDS;9,440;4,440;7,690 to polar;3;2003;2006
Delta IV M+(4,2);United States;ULA;13,140;6,390;10,250 to polar;14;2002;2019
Delta IV M+(5,2);United States;ULA;11,470;5,490;9,600 to polar;3;2012;2018
Delta IV M+(5,4);United States;ULA;14,140;7,300;11,600 to polar;8;2009;2019
Diamant;France;SEREB;107;;;12;1965;1975
Dnepr;Ukraine;Yuzhmash;3,700;;;22;1999;2015
Energia;Soviet Union;NPO Energia;100,000;;20,000 to GEO 32,000 to TLI;1 (failed to orbit);1987;1987
Energia-Buran;Soviet Union;NPO Energia (Launcher) NPO Molniya (Orbiter);30,000;;;1;1988;1988
Falcon 1;United States;SpaceX;470;;;5;2006;2009
Falcon 9 v1.0;United States;SpaceX;10,450;4,540;;5;2010;2013
Falcon 9 v1.1;United States;SpaceX;13,150;4,850;;15;2013;2016
Feng Bao 1;China;Shanghai Bureau No.2;2,500;;;8 (+3);1972;1981
GSLV Mk.I(a);India;ISRO;5,000;1,540;;1;2001;2001
GSLV Mk.I(b);India;ISRO;5,000;2,150;;4;2003;2007
GSLV Mk.I(c);India;ISRO;5,000;;;1;2010;2010
H-I;Japan United States;Mitsubishi;1,400;;;9;1986;1992
H-II / IIS;Japan;Mitsubishi;10,060;4,000;;7;1994;1999
H-IIA 2022;Japan;Mitsubishi;;4,500;;3;2005;2007
H-IIA 2024;Japan;Mitsubishi;11,000;5,000;;7;2002;2008
H-IIB;Japan;Mitsubishi;16,500 (ISS);8,000;;8;2009;2020
J-I;Japan;Nissan Motors;1,000;;;0 (+1);1996;1996
Kaituozhe-1;China;CALT;100;;;2;2002;2003
Kosmos-3M;Soviet Union Russia;NPO Polyot;1,500;;;442;1967;2010
Lambda 4S;Japan;Nissan Motors;26;;;5;1966;1970
Long March 1;China;CALT;300;;;2;1970;1971
Long March 1D;China;CALT;740;;;0 (+3);1995;2002
Long March 2A;China;CALT;2,000;;;4;1974;1978
Long March 2E;China;CALT;9,200;;;7;1990;1995
Long March 3;China;CALT;5,000;;;13;1984;2000
Long March 3B;China;CALT;11,200;5,100;5,700 to SSO;12;1996;2012
Long March 4A;China;CALT;4,000;;;2;1988;1990
M-V;Japan;Nissan Motors (1997–2000) IHI Aerospace (2000–2006);1,850;;;7;1997;2006
Molniya;Soviet Union;RSC Energia;1,800;;;40;1960;1967
Molniya-M;Soviet Union Russia;RSC Energia;2,400;;;280;1965;2010
Mu-3C;Japan;Nissan Motors;195;;;4;1974;1979
Mu-3H;Japan;Nissan Motors;300;;;3;1977;1978
Mu-3S;Japan;Nissan Motors;300;;;4;1980;1984
Mu-3SII;Japan;Nissan Motors;770;;;8;1985;1995
Mu-4S;Japan;Nissan Motors;180;;;4;1971;1972
N1;Soviet Union;NPO Energia;95,000;;;4 (never reached orbit);1969;1972
N-I;Japan United States;Mitsubishi;1,200;;;7;1975;1982
N-II;Japan United States;Mitsubishi;2,000;;;8;1981;1987
Naro-1;South Korea Russia;KARI/Khrunichev;100;;;3;2009;2013
NOTS-EV-1 Pilot;United States;United States Navy;1.05;;;10;1958;1958
Paektusan;North Korea;KCST;700;;;0 (+1);1998;1998
Polyot;Soviet Union;RSC Energia;1,400;;;2;1963;1964
Proton-K;Soviet Union Russia;Khrunichev;19,760;4,930;;311;1965;2012
PSLV-G;India;ISRO;3,200;1,050;1,600 to SSO;12;1993;2016
Rokot;Russia;Khrunichev;1,950;;1,200 to SSO;34;1990;2019
Saturn I;United States;Chrysler (S-I) Douglas (S-IV);9,000;;;10;1961;1965
Saturn IB;United States;Chrysler (S-IB) Douglas (S-IVB);18,600;;;9;1966;1975
Saturn V;United States;Boeing (S-IC) North American (S-II) Douglas (S-IVB);140,000;;47,000 to TLI;13;1967;1973
Scout;United States;US Air Force/NASA;174;;;125;1961;1994
Shtil';Russia;Makeyev;280–420;;;2;1998;2006
SLV;India;ISRO;40;;;4;1979;1983
Soyuz;Soviet Union;RSC Energia;6,450;;;31;1966;1976
Soyuz-FG;Russia;TsSKB-Progress;6,900;;;70;2001;2019
Soyuz-L;Soviet Union;RSC Energia;5,500;;;3;1970;1971
Soyuz-M;Soviet Union;RSC Energia;6,600;;;8;1971;1976
Soyuz-U;Soviet Union Russia;TsSKB-Progress;6,650 from Baikonour 6,150 from Plesetsk;;;786;1973;2017
Soyuz-U2;Soviet Union Russia;TsSKB-Progress;7,050;;;72;1982;1995
Space Shuttle;United States;ATK (SRBs) Martin Marietta (External tank) Rockwell (Orbiter);24,400;4,944 with IUS 1,200 with PAM-D;3,550 to escape with IUS;135;1981;2011
Sputnik 8K71PS;Soviet Union;RSC Energia;500;;;2;1957;1957
Sputnik 8A91;Soviet Union;RSC Energia;1,327;;;2;1958;1958
Start-1;Russia;MITT;532;;350 to SSO;5;1993;2006
Strela;Russia;Khrunichev;1,400;;;3;2003;2014
Titan II GLV;United States;Martin Marietta;3,600;;;11 (+1);1964;1966
Titan II(23)G;United States;Martin Marietta;3,600;;;13;1988;2003
Titan IIIA;United States;Martin Marietta;3,100;;;4;1964;1965
Titan IIIB;United States;Martin Marietta;3,000;;;70;1966;1987
Titan IIIC;United States;Martin Marietta;13,100;;;36;1965;1982
Titan IIID;United States;Martin Marietta;12,300;;;22;1971;1982
Titan IIIE;United States;Martin Marietta;15,400;;;7;1974;1977
Titan 34D;United States;Martin Marietta;4,515;;;15;1982;1989
Titan IVA;United States;Martin Marietta;17,110;4,944 with IUS;14,090 to SSO 4,536 to GSO with Centaur 3,550 to escape with IUS;22;1989;1998
Titan IVB;United States;Lockheed Martin;21,682;5,761 (9,000 with upper stage);;17;1997;2005
Tsyklon-2A;Soviet Union;Yuzhmash;3,350;;;8;1967;1969
Tsyklon-2;Soviet Union Ukraine;Yuzhmash;2,820;;;106;1969;2006
Tsyklon-3;Soviet Union Ukraine;Yuzhmash;1,920;;;122;1977;2009
Vanguard;United States;Martin;9;;;11 (+1);1957;1959
Vector-R;United States;Vector Space Systems;64;;;0 (+2);2017;2017
VLS-1;Brazil;AEB, IAE;380;;;2 (never reached orbit);1997;2003
Volna;Russia;Makeyev;100;;;1 (+5);1995;2005
Voskhod;Soviet Union;RSC Energia;6,000;;;306;1963;1976
Vostok-L;Soviet Union;RSC Energia;;;390 to TLI;4;1960;1960
Vostok-K;Soviet Union;RSC Energia;2,460;;;16;1960;1964
Vostok-2;Soviet Union;RSC Energia;4,730;;;45;1962;1967
Vostok-2M;Soviet Union;RSC Energia;1,300;;;93;1964;1991
Soyuz/Vostok;Soviet Union;RSC Energia;6,000;;;2;1965;1966
Zenit-2;Soviet Union Ukraine;Yuzhnoye;13,740;;;36;1985;2004
Zenit-2M / 2SLB;Ukraine;Yuzhnoye;13,920;;;2;2007;2011
Zenit-3F;Ukraine;Yuzhnoye;;;1,740 to GEO;4;2011;2017
Zenit-3SL;Ukraine;Yuzhmash RSC Energia;7,000;6,160;;36;1999;2014
Zenit-3SLB / 3M;Ukraine;Yuzhmash RSC Energia;;3,750;;6;2008;2013
