 Vehicle ; Origin ; Manufacturer ; Mass to ... (kg) ; Mass to ... (kg) ; Mass to ... (kg) ; Launches(+suborbital) ; Date of flight ; Date of flight 
 Delta II 7925 ; USA ; Boeing IDS / ULA ;  ; 1819 ; 1,177 to TLI1,265 to HCO ; 69 ; 1990 ; 2009  
 Delta II-H 7920H ; USA ; Boeing IDS / ULA ; 6097 ;  ;  ; 3 ; 2003 ; 2011 
 Delta II-H 7925H ; USA ; Boeing IDS / ULA ;  ; 2171 ; 1,508 to HCO ; 3 ; 2003 ; 2007  
 Delta III 8930 ; USA ; Boeing IDS ; 8292 ; 3810 ;  ; 3 ; 1998 ; 2000  
 Delta IV M ; USA ; Boeing IDS ; 9440 ; 4440 ; 7690 to polar ; 3 ; 2003 ; 2006 
 Delta IV M+(4,2) ; USA ; ULA ; 13140 ; 6390 ; 10250 to polar ; 14 ; 2002 ; 2019 
 Delta IV M+(5,2) ; USA ; ULA ; 11470 ; 5490 ; 9600 to polar ; 3 ; 2012 ; 2018 
 Delta IV M+(5,4) ; USA ; ULA ; 14140 ; 7300 ; 11600 to polar ; 8 ; 2009 ; 2019  
 Diamant ; FRA ; SEREB ; 107Space Skyrocket, Diamant, retrieved 19 December 2015 ;  ;  ; 12 ; 1965 ; 1975  
 Dnepr ; UKR ; Yuzhmash ; 3700 ;  ;  ; 22 ; 1999 ; 2015  
 EnergiaWithout Buran, and assuming payload providing orbital insertion ; USSR ; NPO Energia ; 100000 ;  ; 20000 to GEO32,000 to TLI ; 1 (failed to orbit) ; 1987 ; 1987 
 Energia-Buran ; USSR ; NPO Energia (Launcher)NPO Molniya (Orbiter) ; 30000The U.S. Space Shuttle Transportation System and the Soviet Energia-Buran system consist of launch vehicle rockets and returnable spaceplane orbiter. Payload values listed here are for the mass of the payload in cargo bay of the spaceplanes, excluding the mass of the spaceplanes themselves. ;  ;  ; 1 ; 1988 ; 1988  
 Falcon 1 ; USA ; SpaceX ; 470 ;  ;  ; 5 ; 2006 ; 2009  
 Falcon 9 v1.0 ; USA ; SpaceX ; 10,450{{cite web ;url=  ;title=Falcon 9 Overview  ;year=2011  ;publisher=SpaceX  ;accessdate=2011-12-01  ;archiveurl= ;archivedate=2012-01-18 ;url-status=dead }} ; 4,540 ;  ; 5 ; 2010 ; 2013 
 Falcon 9 v1.1 ; USA ; SpaceX ; 13,150The SpaceX website lists the F9 payload to LEO as 13,150kg. The payload to GTO is listed as 4,850kg. However, SpaceX has stated that these numbers include a 30% margin to accommodate re-usability. ; 4,850 ;  ; 15 ; 2013 ; 2016  
 Feng Bao 1 ; CHN ; Shanghai Bureau No.2 ; 2,500Feng Bao 1, part of CZ family ;  ;  ; 8 (+3) ; 1972 ; 1981  
 GSLV Mk.I(a) ; IND ; ISRO ; 5000 ; 1540 ;  ; 1 ; 2001 ; 2001 
 GSLV Mk.I(b) ; IND ; ISRO ; 5000 ; 2150 ;  ; 4 ; 2003 ; 2007 
 GSLV Mk.I(c) ; IND ; ISRO ; 5000 ;  ;  ; 1 ; 2010 ; 2010  
 H-I ; JPNUSA ; Mitsubishi ; 1400 ;  ;  ; 9 ; 1986 ; 1992  
 H-II / IIS ; JPN ; Mitsubishi ; 10060astronautix.com, H-2  ; 4000 ;  ; 7 ; 1994 ; 1999 
 H-IIA 2022 ; JPN ; Mitsubishi ;  ; 4500 ;  ; 3 ; 2005 ; 2007 
 H-IIA 2024 ; JPN ; Mitsubishi ; 11000astronautix.com H-IIA 2024  ; 5000 ;  ; 7 ; 2002 ; 2008 
 H-IIB ; JPN ; Mitsubishi ; 16,500 (ISS) ; 8,000 ;  ; 8 ; 2009 ; 2020  
 J-I ; JPN ; Nissan Motors ; 1000 ;  ;  ; 0 (+1) ; 1996 ; 1996  
 Kaituozhe-1 ; CHN ; CALT ; 100astronautix.com Kaituozhe-1, also called KY-1  ;  ;  ; 2 ; 2002 ; 2003  
 Kosmos-3M ; USSRRUS ; NPO Polyot ; 1500 ;  ;  ; 442{{cite web|url= (11K65M)|publisher=|access-date=2015-12-21|archive-url= ; 1967 ; 2010  
 Lambda 4S ; JPN ; Nissan Motors ; 26 ;  ;  ; 5 ; 1966 ; 1970  
 Long March 1 ; CHN ; CALT ; 300astronautix.com, Long March 1, also called CZ-1 ;  ;  ; 2 ; 1970 ; 1971 
 Long March 1D ; CHN ; CALT ; 740astronautix.com, Long March 1D (CZ-1D)  ;  ;  ; 0 (+3) ; 1995Suborbital test flights in 1995, 1997 and 2002, no orbital launches attempted ; 2002  
 Long March 2A ; CHN ; CALT ; 2000astronautix.com Long March 2A – CZ-2A  ;  ;  ; 4 ; 1974 ; 1978 
 Long March 2E ; CHN ; CALT ; 9200 ;  ;  ; 7 ; 1990 ; 1995  
 Long March 3 ; CHN ; CALT ; 5000 ;  ;  ; 13 ; 1984 ; 2000 
 Long March 3B ; CHN ; CALT ; 11,200 ; 5,100 ; 5,700 to SSO ; 12 ; 1996 ; 2012  
 Long March 4A ; CHN ; CALT ; 4000 ;  ;  ; 2 ; 1988 ; 1990  
 M-V ; JPN ; Nissan Motors (1997–2000)IHI Aerospace (2000–2006) ; 1850 ;  ;  ; 7 ; 1997 ; 2006  
 Molniya ; USSR ; RSC Energia ; 1800astronautix.com, Encyclopedia Astronautica, Molniya 8K78M  ;  ;  ; 40 ; 1960 ; 1967 
 Molniya-M ; USSRRUS ; RSC Energia ; 2400 ;  ;  ; 280 ; 1965 ; 2010  
 Mu-3C ; JPN ; Nissan Motors ; 195 ;  ;  ; 4 ; 1974 ; 1979 
 Mu-3H ; JPN ; Nissan Motors ; 300 ;  ;  ; 3 ; 1977 ; 1978 
 Mu-3S ; JPN ; Nissan Motors ; 300 ;  ;  ; 4 ; 1980 ; 1984 
 Mu-3SII ; JPN ; Nissan Motors ; 770 ;  ;  ; 8 ; 1985 ; 1995 
 Mu-4S ; JPN ; Nissan Motors ; 180 ;  ;  ; 4 ; 1971 ; 1972  
 N1 ; USSR ; NPO Energia ; 95000The N1 rocket was initially designed for 75mt LEO capacity and launch attempts were made with this version, but there were studies to increase the payload capacity to 90–95 mt, if a liquid-hydrogen upper stage engine could be developed. ;  ;  ; 4 (never reached orbit) ; 1969 ; 1972  
 N-I ; JPNUSA ; Mitsubishi ; 1200astronautix.com, N-I- Delta  ;  ;  ; 7 ; 1975 ; 1982 
 N-II ; JPNUSA ; Mitsubishi ; 2000astronautix.com, Encyclopedia Astronautica, N-2  ;  ;  ; 8 ; 1981 ; 1987  
 Naro-1 ; KORRUS ; KARI/Khrunichev ; 100 ;  ;  ; 3 ; 2009 ; 2013  
 NOTS-EV-1 Pilot ; USA ; United States Navy ; 1.05 ;  ;  ; 10 ; 1958 ; 1958  
 Paektusan ; North Korea ; KCST ; 700Korea, By Christoph Bluth, ;  ;  ; 0 (+1) ; 1998 ; 1998  
 Polyot ; USSR ; RSC Energia ; 1400 ;  ;  ; 2 ; 1963 ; 1964  
 Proton-K ; USSRRUS ; Khrunichev ; 19760Encyclopedia Astronautica, Proton-K  ; 4930 ;  ; 311 ; 1965 ; 2012  
 PSLV-G ; IND ; ISRO ; 3200 ; 1050 ; 1600 to SSO ; 12 ; 1993 ; 2016 
 Rokot ; RUS ; Khrunichev ; 1950 ;  ; 1200 to SSO ; 34 ; 1990 ; 2019 
 Saturn I ; USA ; Chrysler (S-I)Douglas (S-IV) ; 9000astronautix.com, Saturn I  ;  ;  ; 10 ; 1961 ; 1965 
 Saturn IB ; USA ; Chrysler (S-IB)Douglas (S-IVB) ; 18600Encyclopedia Astronautica, Saturn IB  ;  ;  ; 9 ; 1966 ; 1975  
 Saturn V ; USA ; Boeing (S-IC)North American(S-II)Douglas(S-IVB) ; 140000{{Citation|title=Alternatives for Future U.S. Space-Launch Capabilities|publisher=The Congress of the United States. Congressional Budget Office|date=October 2006|pages=X,1, 4, 9|url=url= P. Stafford ;  ; 47000 to TLI ; 13The Saturn V made 13 launches, 12 of which reached the correct orbits, and the other (Apollo 6) reached a different orbit than the one which had been planned, however, some mission objectives could still be completed, NASA, Saturn V News Reference, Appendix: Saturn V Flight History (1968) date=2011-05-17 . For more information, see the Saturn V article.  The Saturn V launch record is usually quoted as having never failed, e.g. "The rocket was masterminded by Wernher Von Braun and did not fail in any of its flights", Alan Lawrie and Robert Godwin, Saturn, but the Apollo 6 launch should be considered a partial mission failure. The 13th launch of Saturn V was in special configuration (SA-513) with the Skylab. ; 1967 ; 1973  
 Scout ; USA ; US Air Force/NASA ; 174 ;  ;  ; 125 ; 1961 ; 1994  
 Shtil' ; RUS ; Makeyev ; 420 280–420 ;  ;  ; 2 ; 1998 ; 2006  
 SLV ; IND ; ISRO ; 40 ;  ;  ; 4 ; 1979 ; 1983  
 Soyuz ; USSR ; RSC Energia ; 6450 ;  ;  ; 31 ; 1966 ; 1976 
 Soyuz-FG ; RUS ; TsSKB-Progress ; 6900 ;  ;  ; 70 ; 2001 ; 2019 
 Soyuz-L ; USSR ; RSC Energia ; 5500 ;  ;  ; 3 ; 1970 ; 1971 
 Soyuz-M ; USSR ; RSC Energia ; 6600 ;  ;  ; 8 ; 1971 ; 1976  
 Soyuz-U ; USSRRUS ; TsSKB-Progress ; 6650 from Baikonour6150   from Plesetsk ;  ;  ; 786 ; 1973 ; 2017 
 Soyuz-U2 ; USSRRUS ; TsSKB-Progress ; 7050 ;  ;  ; 72 ; 1982 ; 1995  
 Space Shuttle ; USA ; ATK (SRBs)Martin Marietta (External tank)Rockwell (Orbiter) ; 24400name=spaceplane ;   4944 with IUS1200  with PAM-D  ; 3550 to escape with IUS ; 135 ; 1981 ; 2011  
 Sputnik 8K71PS ; USSR ; RSC Energia ; 500 ;  ;  ; 2 ; 1957 ; 1957 
 Sputnik 8A91 ; USSR ; RSC Energia ; 1327 ;  ;  ; 2 ; 1958 ; 1958  
 Start-1 ; RUS ; MITT ; 532 ;  ; 350 to SSO ; 5{{cite web|url= ; 1993 ; 2006  
 Strela ; RUS ; Khrunichev ; 1400 ;  ;  ; 3  ; 2003 ; 2014  
 Titan II GLV ; USA ; Martin Marietta ; 3600astronautix.com, Titan II GLV  ;  ;  ; 11 (+1) ; 1964 ; 1966 
 Titan II(23)G ; USA ; Martin Marietta ; 3600astronautix.com, Titan 23G  ;  ;  ; 13 ; 1988 ; 2003  
 Titan IIIA ; USA ; Martin Marietta ; 3100Encyclopedia Astronautica, Titan 3A   ;  ;  ; 4 ; 1964 ; 1965 
 Titan IIIB ; USA ; Martin Marietta ; 3000Encyclopedia Astronautica, Titan 3B   ;  ;  ; 70 ; 1966 ; 1987 
 Titan IIIC ; USA ; Martin Marietta ; 13100astronautix.com, Titan IIIC  ;  ;  ; 36 ; 1965 ; 1982 
 Titan IIID ; USA ; Martin Marietta ; 12300astronautix.com, Titan IIID  ;  ;  ; 22 ; 1971 ; 1982 
 Titan IIIE ; USA ; Martin Marietta ; 15400astronautix.com, Titan IIIE  ;  ;  ; 7 ; 1974 ; 1977  
 Titan 34D ; USA ; Martin Marietta ; 4515astronautix.com, Titan 34D  ;  ;  ; 15 ; 1982 ; 1989  
 Titan IVA ; USA ; Martin Marietta ; 17110 ; 4,944 with IUS ;   14,090 to SSO 4,536 to GSO with Centaur 3,550 to escape with IUS  ; 22 ; 1989 ; 1998  
 Titan IVB ; USA ; Lockheed Martin ; 21,682fix-attempted=yes  ; 5,761(9,000 with upper stage) ;  ; 17 ; 1997 ; 2005  
 Tsyklon-2A ; USSR ; Yuzhmash ; 3350astronautix.com, Tsyklon-2A  ;  ;  ; 8 ; 1967 ; 1969 
 Tsyklon-2 ; USSRUKR ; Yuzhmash ; 2820astronautix.com, Tsyklon-2  ;  ;  ; 106 ; 1969 ; 2006  
 Tsyklon-3 ; USSRUKR ; Yuzhmash ; 1920nasaspaceflight.com, Tsyklon-3 ;  ;  ; 122 ; 1977 ; 2009  
 Vanguard ; USA ; Martin ; 9astronautix.com, vanguard  ;  ;  ; 11 (+1) ; 1957 ; 1959 
 Vector-R ; USA ; Vector Space Systems ; 64 ;  ;  ; 0 (+2) ; 2017 ;2017 
 VLS-1 ; BRA ; AEB, IAE ; 380{{cite web|url= ;  ;  ; 2A third rocket exploded before launch. (never reached orbit) ; 1997 ; 2003  
 Volna ; RUS ; Makeyev ; 100 ;  ;  ; 1 (+5) ; 1995First orbital launch attempt in 2005 ; 2005  
 Voskhod ; USSR ; RSC Energia ; 6000Handbook of Space Engineering, Archaeology, and Heritage by Ann Darrin, Beth L. O'Leary, page 116 ;  ;  ; 306 ; 1963 ; 1976  
 Vostok-L ; USSR ; RSC Energia ;  ;  ; 390 to TLI ; 4 ; 1960 ; 1960 
 Vostok-K ; USSR ; RSC Energia ; 2460 ;  ;  ; 16 ; 1960 ; 1964  
 Vostok-2 ; USSR ; RSC Energia ; 4730 ;  ;  ; 45 ; 1962 ; 1967 
 Vostok-2M ; USSR ; RSC Energia ; 1300 ;  ;  ; 93 ; 1964 ; 1991  
 Soyuz/Vostok ; USSR ; RSC Energia ; 6000astronautix.com, Soyuz/Vostok date=2010-01-07  ;  ;  ; 2 ; 1965 ; 1966  
 Zenit-2 ; USSRUKR ; Yuzhnoye ; 13740 ;  ;  ; 36 ; 1985 ; 2004 
 Zenit-2M / 2SLB ; UKR ; Yuzhnoye ; 13920 ;  ;  ; 2 ; 2007 ; 2011 
 Zenit-3F ; UKR ; Yuzhnoye ;  ;  ; 1740 to GEO ; 4 ; 2011 ; 2017 
 Zenit-3SL ; UKR ; Yuzhmash  RSC Energia ; 7000 ; 6160 ;  ; 36 ; 1999 ; 2014 
 Zenit-3SLB / 3M ; UKR ; Yuzhmash  RSC Energia ; ; 3750 ;   ; 6 ; 2008 ; 2013  
