Model ;Launch ;Code name ;Process ;Transistors (billion) ;Die size (mm2) ;Core configname=CoreConfig ;Bus interface ;L2 Cache (MB) ;Clock speeds ;Clock speeds ;Clock speeds ;Memory ;Memory ;Memory ;Memory ;Fillratename=PerfValues ;Fillratename=PerfValues ;Processing power (GFLOPS)name=PerfValuesname=ProcessingPower ;Processing power (GFLOPS)name=PerfValuesname=ProcessingPower ;Processing power (GFLOPS)name=PerfValuesname=ProcessingPower ;TDP (Watts) ;SLI support ;Release price (USD) ;Release price (USD) 
 GeForce GTX 1060 ; December, 2018 ; GP104-150-KA-A1 ; TSMC16FF ; 7.2 ; 314 ; 1280:80:48 (10) (2) ; PCIe 3.0 x16 ;1.5 ; 1506 ; 1708 ; 8000 ; 6 ; 192.0 ; GDDR5X ; 192 ; 72.282.0 ; 120.4136.7 ; 3855.34375.0 ; 120.4136.7 ; 60.268.3 ; 120(Retailup to200) 
 GeForce GTX 1060 ; July 19, 2016 ; GP106-400-A1 ; TSMC16FF ; 4.4 ; 200 ; 1280:80:48 (10) (2) ; PCIe 3.0 x16 ;1.5? ; 1506 ; 1708 ; 8000 ; 6 ; 192.0 ; GDDR5 ; 192 ; 72.282.0 ; 120.4136.7 ; 3855.34375.0 ; 120.4136.7 ; 60.268.3 ; 120(Retailup to200) ; $249 ; $299 
 GeForce GTX 1060 ; April 20, 2017 ; GP106-410-A1 ; TSMC16FF ; 4.4 ; 200 ; 1280:80:48 (10) (2) ; PCIe 3.0 x16 ;1.5? ; 1506 ; 1708 ; 9000 ; 6 ; 216.0 ; GDDR5 ; 192 ; 72.282.0 ; 120.4136.7 ; 3855.34375.0 ; 120.4136.7 ; 60.268.3 ; 120(Retailup to200) ; $299 ; n/a 
 GeForce GTX 1070 ; June 10, 2016 /Dec. 2018 ; GP104-200-A1 ; TSMC16FF ; 7.2 ; 314 ; 1920:120:64 (15) (3) ; PCIe 3.0 x16 ;2 ; 1506 ; 1683 ; 8000 ; 8 ; 256.0 ; GDDR5 / GDDR5X ; 256 ; 96.3107.7 ; 180.7201.9 ; 5783.06462.7 ; 180.7201.9 ; 90.3100.9 ; 150(Retailup to250) ; 4-way SLI or 2-way SLI HB ; $379 ; $449 ($399){{Cite web|url=, There Was No GeForce GTX 1070 Price Cut! - Tech ARP|website=www.techarp.com|language=en-US|access-date=2017-11-05|archive-url= 
 GeForce GTX 1070Ti ; November 2, 2017 ; GP104-300-A1 ; TSMC16FF ; 7.2 ; 314 ; 2432:152:64 (19) (4) ; PCIe 3.0 x16 ;2 ; 1607 ; 1683 ; 8000 ; 8 ; 256.0 ; GDDR5  ; 256 ; 102.8107.7 ; 244256 ; 7816.48186.1 ; 244.2255.8 ; 122.1127.9 ; 180(Retailup to300) ; 4-way SLI or 2-way SLI HB ; $449 ; $449 
 GeForce GTX 1080 ; May 27, 2016 ; GP104-400-A1 ; TSMC16FF ; 7.2 ; 314 ; 2560:160:64 (20) (4) ; PCIe 3.0 x16 ;2 ; 1607 ; 1733 ; 10000 ; 8 ; 320.0 ; GDDR5X ; 256 ; 102.8110.9 ; 257.1277.2 ; 8227.88872.9 ; 257.1277.2 ; 128.5138.6 ; 180(Retailup to300) ; 4-way SLI or 2-way SLI HB ; $599 ($499) ; $699 ($549) 
 GeForce GTX 1080 ; April 20, 2017 ; GP104-410-A1 ; TSMC16FF ; 7.2 ; 314 ; 2560:160:64 (20) (4) ; PCIe 3.0 x16 ;2 ; 1607 ; 1733 ; 11000 ; 8 ; 352.0 ; GDDR5X ; 256 ; 102.8110.9 ; 257.1277.2 ; 8227.88872.9 ; 257.1277.2 ; 128.5138.6 ; 180(Retailup to300) ; 4-way SLI or 2-way SLI HB ; $599 ($499) ; $699 ($549) 
 GeForce GTX 1080Ti ; March 5, 2017 ; GP102-350-K1-A1 ; TSMC16FF ; 12 ; 471 ; 3584:224:88 (28) (6) ; PCIe 3.0 x16 ;2.75 ; 1480 ; 1582 ; 11000 ; 11 ; 484.0 ; GDDR5X ; 352 ; 130.2139.2 ; 331.5354.3 ; 10608.611339.7 ; 331.5354.3 ; 165.7177.1 ; 250 ; 4-way SLI or 2-way SLI HB ; $699 ; $699 
 Nvidia TITAN X ; August 2, 2016 ; GP102-400-A1 ; TSMC16FF ; 12 ; 471 ; 3584:224:96 (28) (6) ; PCIe 3.0 x16 ;3 ; 1417 ; 1531 ; 10000 ; 12 ; 480.0 ; GDDR5X ; 384 ; 136.0146.9 ; 317.4342.9 ; 10157.010974.2 ; 317.4342.9 ; 158.7171.4 ; 250 ; 4-way SLI or 2-way SLI HB ; $1200 ; rowspan="2" N/A 
Nvidia TITAN Xp ; April 6, 2017 ; GP102-450-A1 ; TSMC16FF ; 12 ; 471 ; 3840:240:96 (30) (6) ; PCIe 3.0 x16 ;3 ; 1405 ; 1480 ; 11400 ; 12 ; 547.7 ; GDDR5X ; 384 ; 134.8142.0 ; 337.2355.2 ; 10790.411366.4 ; 337.2355.2 ; 168.6177.6 ; 250 ; 4-way SLI or 2-way SLI HB ; $1200 
