File extension(s) ;MIME type ;Official name ;Creation platform ;Restoration platformRestoration platform indicates the platform(s) under which a format can be restored/extracted.  Most file formats can be understood by more than one platform. ;Restorable with free software"Restorable with free software" indicates whether the format can be restored using an extraction tool that is free software. ;Description 
.rk ; ; RK and WinRK  ;Multiple ;Multiple ;no ;The format from a commercial archiving package. Odd among commercial packages in that they focus on incorporating experimental algorithms with the highest possible compression (at the expense of speed and memory), such as PAQ, PPMD and PPMZ (PPMD with unlimited-length strings), as well as a proprietary algorithms. 
.sda ; ;Self Dissolving ARChive ;Commodore 64, Commodore 128 ;Commodore 64, Commodore 128 ;yes ;SDAs refer to Self Dissolving ARC files, and are based on the Commodore 64 and Commodore 128 versions of ARC, originally written by Chris Smeets.  While the files share the same extension, they are not compatible between platforms.  That is, an SDA created on a Commodore 64 but run on a Commodore 128 in Commodore 128 mode will crash the machine, and vice versa.  The intended successor to SDA is SFX. 
.sea ; ;Self Extracting Archive ;Classic Mac OS ;Classic Mac OS (implicitly) ; ;A pre-Mac OS X Self-Extracting Archive format. StuffIt, Compact Pro, Disk Doubler and others could create .sea files, though the StuffIt versions were the most common. 
.sen ; ;Scifer ;Multiple ;Multiple ;yes ;Scifer Archive with internal header 
.sfx ; ;Self Extracting Archive ;Commodore 64, Commodore 128 ;Commodore 64, Commodore 128 ;yes ;SFX is a Self Extracting Archive which uses the LHArc compression algorithm.  It was originally developed by Chris Smeets on the Commodore platform, and runs primarily using the CS-DOS extension for the Commodore 128.  Unlike its predecessor SDA, SFX files will run on both the Commodore 64 and Commodore 128 regardless of which machine they were created on. 
.shk ; ;NuFX ;Originally Apple II, now multiple ;Multiple ;yes ;An archive format designed for the Apple II series of computers.  The canonical implementation is ShrinkIt, which can operate on disk images as well as files.  Preferred compression algorithm is a combination of RLE and 12-bit LZW.  Archives can be manipulated with the command-line NuLib tool, or the Windows-based CiderPress. 
.sit ;application/x-stuffit ;StuffIt ;Originally Classic Mac OS, now multiple ;Originally Classic Mac OS, now multiple ;yes ;A compression format common on Apple Macintosh computers. The free StuffIt Expander is available for Windows and macOS. 
.sitx ;application/x-stuffitx ;StuffIt X ;Multiple ;Multiple ;yes ;The replacement for the .sit format that supports more compression methods, UNIX file permissions, long file names, very large files, more encryption options, data specific compressors (JPEG, Zip, PDF, 24-bit image, MP3). The free StuffIt Expander is available for Windows and OS X. 
.sqx ; ;SQX ;Windows ;Windows ;yes ;A royalty-free compressing format 
.tar.gz, .tgz, .tar.Z, .tar.bz2,.tbz2, .tar.lz, .tlz. .tar.xz, .txz ;application/x-gtar ;tar with gzip, compress, bzip2, lzip, or xz ;Multiple ;Multiple ;yes ;The "tarball" format combines tar archives with a file-based compression scheme (usually gzip). Commonly used for source and binary distribution on Unix-like platforms, widely available elsewhere. 
.uc .uc0 .uc2 .ucn .ur2 .ue2 ; ;UltraCompressor II ;DOS ;DOS ; ;UltraCompressor 2.3 was developed to act as an alternative to the then popular PKZIP application. The main feature of the application is its ability to create large archives. This means that compressed archives with the UC2 file extension can hold almost 1 million files.  
.uca ; ;PerfectCompress ;Windows ;Windows ;no ;Based on PAQ, RZM, CSC, CCM, and 7zip. The format consists of a PAQ, RZM, CSC, or CCM compressed file and a manifest with compression settings stored in a 7z archive. 
.uha ; ;UHarc ;DOS/Windows ;DOS/Windows ;yes ; A high compression rate archive format originally for DOS. 
.war ; ;WAR ;Multiple ;Multiple ;yes ;Web Application archive (Java-based web app) 
.wim ;application/x-ms-wim ;Windows Image ;Windows ;Windows ;Yes ;File-based disk image format developed to deploy Microsoft Windows. 
.xar ;application/x-xar ;XAR ;Multiple ;Multiple ;yes ; 
.xp3 ; ;KiriKiri ;Windows ;Windows ;yes ;Native format of the Open Source KiriKiri Visual Novel engine. Uses combination of block splitting and zlib compression. The filenames and pathes are stored in UTF-16 format. For integrity check, the Adler-32 hashsum is used. For many commercial games, the files are encrypted (and decoded on runtime) via so-called "cxdec" module, which implements xor-based encryption. 
.yz1 ; ;YZ1 ;Windows, DOS, Linux ;Windows, DOS, Linux ;yes ;Yamazaki zipper archive. Compression format used in DeepFreezer archiver utility created by Yamazaki Satoshi. Read and write support exists in TUGZip, IZArc and ZipZag 
.zip, .zipx ;application/zip ;ZIP ;Originally DOS, now multiple ;Multiple ;yes ;The most widely used compression format on Microsoft Windows. Commonly used on Macintosh and Unix systems as well. 
.zoo ;application/x-zoo ;zoo ;Multiple ;Multiple ;yes ; 
.zpaq ; ;ZPAQ ;Multiple ;Multiple ;yes ;Journaling (append-only) archive format with rollback capability. Supports deduplication and incremental update based on last-modified dates. Multi-threaded. Compresses in LZ77, BWT, and context mixing formats. Open source. 
.zz ; ;Zzip ;Multiple ;Multiple ;yes ;Archiver with a compression algorithm based on the Burrows-Wheeler transform method. 
