Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator  
Microsoft Sequential Image Narrative Dataset (SIND) ;Dataset for sequential vision-to-language ;Descriptive caption and storytelling given for each photo, and photos are arranged in sequences ;81,743 ;Images, text ;Visual storytelling ;2016 ;date=13 April 2016  ;Microsoft Research 
Caltech-UCSD Birds-200-2011 Dataset ;Large dataset of images of birds. ;Part locations for birds, bounding boxes, 312 binary attributes given ;11,788 ;Images, text ;Classification ;2011 ;Wah, Catherine, et al. "The caltech-ucsd birds-200-2011 dataset." (2011).Duan, Kun, et al. "Discovering localized attributes for fine-grained recognition." Computer Vision and Pattern Recognition (CVPR), 2012 IEEE Conference on. IEEE, 2012. ;C. Wah et al. 
YouTube-8M ;Large and diverse labeled video dataset ;YouTube video IDs and associated labels from a diverse vocabulary of 4800 visual entities ;8 million ;Video, text ;Video classification ;2016 ;date=27 September 2016  ;S. Abu-El-Haija et al.  
YFCC100M ;Large and diverse labeled image and video dataset ;Flickr Videos and Images and associated description, titles, tags, and other metadata (such as EXIF and geotags) ;100million ;Video, Image, Text ;Video and Image classification ;2016 ;s2cid=207230134  ;B. Thomee et al. 
Discrete LIRIS-ACCEDE ;Short videos annotated for valence and arousal. ;Valence and arousal labels. ;9800 ;Video ;Video emotion elicitation detection ;2015 ;Y. Baveye, E. Dellandrea, C. Chamaret, and L. Chen, "LIRIS-ACCEDE: A Video Database for Affective Content Analysis,” in IEEE Transactions on Affective Computing, 2015. ;Y. Baveye et al. 
Continuous LIRIS-ACCEDE ;Long videos annotated for valence and arousal while also collecting Galvanic Skin Response. ;Valence and arousal labels. ;30 ;Video ;Video emotion elicitation detection ;2015 ;Y. Baveye, E. Dellandrea, C. Chamaret, and L. Chen, "Deep Learning vs. Kernel Methods: Performance for Emotion Prediction in Videos," in 2015 Humaine Association Conference on Affective Computing and Intelligent Interaction (ACII), 2015. ;Y. Baveye et al. 
MediaEval LIRIS-ACCEDE ;Extension of Discrete LIRIS-ACCEDE including annotations for violence levels of the films. ;Violence, valence and arousal labels. ;10900 ;Video ;Video emotion elicitation detection ;2015 ;M. Sjöberg, Y. Baveye, H. Wang, V. L. Quang, B. Ionescu, E. Dellandréa, M. Schedl, C.-H. Demarty, and L. Chen, "The mediaeval 2015 affective impact of movies task," in MediaEval 2015 Workshop, 2015. ;Y. Baveye et al. 
Leeds Sports Pose ;Articulated human pose annotations in 2000 natural sports images from Flickr. ;Rough crop around single person of interest with 14 joint labels ;2000 ;Images plus .mat file labels ;Human pose estimation ;2010 ;S. Johnson and M. Everingham, "Clustered Pose and Nonlinear Appearance Models for Human Pose Estimation", in Proceedings of the 21st British Machine Vision Conference (BMVC2010) ;S. Johnson and M. Everingham 
Leeds Sports Pose Extended Training ;Articulated human pose annotations in 10,000 natural sports images from Flickr. ;14 joint labels via crowdsourcing ;10000 ;Images plus .mat file labels ;Human pose estimation ;2011 ;S. Johnson and M. Everingham, "Learning Effective Human Pose Estimation from Inaccurate Annotation", In Proceedings of IEEE Conference on Computer Vision and Pattern Recognition (CVPR2011) ;S. Johnson and M. Everingham 
MCQ Dataset ;6 different real multiple choice-based exams (735 answer sheets and 33,540 answer boxes) to evaluate computer vision techniques and systems developed for multiple choice test assessment systems. ;None ;735 answer sheets and 33,540 answer boxes ;Images and .mat file labels ;Development of multiple choice test assessment systems ;2017 ;class=cs.CV ;Afifi, M. et al. 
Surveillance Videos ;Real surveillance videos cover a large surveillance time (7 days with 24 hours each). ;None ;19 surveillance videos (7 days with 24 hours each). ;Videos ;Data compression ;2016 ;s2cid=8698850 ;Taj-Eddin, I. A. T. F. et al. 
LILA BC ;Labeled Information Library of Alexandria: Biology and Conservation.  Labeled images that support machine learning research around ecology and environmental science. ;None ;~10M images ;Images ;Classification ;2019 ;doi-access=free ;LILA working group 
Can We See Photosynthesis? ;32 videos for eight live and eight dead leaves recorded under both DC and AC lighting conditions.  ;None ;32 videos ;Videos ;Liveness detection of plants ;2017 ;s2cid=12367169 ;Taj-Eddin, I. A. T. F. et al. 
