Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
Caltech-256 ;Large dataset of images for object classification. ;Images categorized and hand-sorted. ;30,607 ;Images, Text ;Classification, object detection ;2007 ;Griffin, G., A. Holub, and P. Perona. Caltech-256 object category dataset California Inst. Technol., Tech. Rep. 7694, 2007 [Online]. Available: , 2007.Baeza-Yates, Ricardo, and Berthier Ribeiro-Neto. Modern information retrieval. Vol. 463. New York: ACM press, 1999. ;G. Griffin et al. 
SIFT10M Dataset ;SIFT features of Caltech-256 dataset. ;Extensive SIFT feature extraction. ;11,164,866 ;Text ;Classification, object detection ;2016 ;Fu, Xiping, et al. "NOKMeans: Non-Orthogonal K-means Hashing." Computer Vision—ACCV 2014. Springer International Publishing, 2014. 162–177. ;X. Fu et al. 
LabelMe ;Annotated pictures of scenes. ;Objects outlined. ;187,240 ;Images, text ;Classification, object detection ;2005 ; s2cid = 646320  ;MIT Computer Science and Artificial Intelligence Laboratory 
Cityscapes Dataset ;Stereo video sequences recorded in street scenes, with pixel-level annotations. Metadata also included. ;Pixel-level segmentation and labeling ;25,000 ;Images, text ;Classification, object detection  ;2016 ;M. Cordts, M. Omran, S. Ramos, T. Scharwächter, M. Enzweiler, R. Benenson, U. Franke, S. Roth, and B. Schiele, "The Cityscapes Dataset." In CVPR Workshop on The Future of Datasets in Vision, 2015. ;Daimler AG et al. 
PASCAL VOC Dataset ;Large number of images for classification tasks. ;Labeling, bounding box included ;500,000 ;Images, text ;Classification, object detection ;2010 ; s2cid = 4246903  s2cid = 3198903  ;M. Everingham et al. 
CIFAR-10 Dataset ;Many small, low-resolution, images of 10 classes of objects. ;Classes labelled, training set splits created. ;60,000 ;Images ;Classification ;2009 ;Krizhevsky, Alex, Ilya Sutskever, and Geoffrey E. Hinton. "Imagenet classification with deep convolutional neural networks." Advances in neural information processing systems. 2012.Gong, Yunchao, and Svetlana Lazebnik. "Iterative quantization: A procrustean approach to learning binary codes." Computer Vision and Pattern Recognition (CVPR), 2011 IEEE Conference on. IEEE, 2011. ;A. Krizhevsky et al. 
CIFAR-100 Dataset ;Like CIFAR-10, above, but 100 classes of objects are given. ;Classes labelled, training set splits created. ;60,000 ;Images ;Classification ;2009 ; ;A. Krizhevsky et al. 
CINIC-10 Dataset ;A unified contribution of CIFAR-10 and Imagenet with 10 classes, and 3 splits. Larger than CIFAR-10. ;Classes labelled, training, validation, test set splits created. ;270,000 ;Images ;Classification ;2018 ; ;Luke N. Darlow, Elliot J. Crowley, Antreas Antoniou, Amos J. Storkey 
Fashion-MNIST ;A MNIST-like fashion product database ;Classes labelled, training set splits created. ;60,000 ;Images ;Classification ;2017 ;accessdate=2017-10-07 ;Zalando SE 
notMNIST ;Some publicly available fonts and extracted glyphs from them to make a dataset similar to MNIST. There are 10 classes, with letters A-J taken from different fonts. ;Classes labelled, training set splits created. ;500,000 ;Images ;Classification ;2011 ; ;Yaroslav Bulatov 
German Traffic Sign Detection Benchmark Dataset ;Images from vehicles of traffic signs on German roads. These signs comply with UN standards and therefore are the same as in other countries. ;Signs manually labeled ;900 ;Images ;Classification ;2013 ;Houben, Sebastian, et al. "Detection of traffic signs in real-world images: The German Traffic Sign Detection Benchmark." Neural Networks (IJCNN), The 2013 International Joint Conference on. IEEE, 2013.Mathias, Mayeul, et al. "Traffic sign recognition—How far are we from the solution?." Neural Networks (IJCNN), The 2013 International Joint Conference on. IEEE, 2013. ;S Houben et al. 
KITTI Vision Benchmark Dataset ;Autonomous vehicles driving through a mid-size city captured images of various areas using cameras and laser scanners. ;Many benchmarks extracted from data. ;>100 GB of data ;Images, text ;Classification, object detection ;2012 ;Geiger, Andreas, Philip Lenz, and Raquel Urtasun. "Are we ready for autonomous driving? the kitti vision benchmark suite." Computer Vision and Pattern Recognition (CVPR), 2012 IEEE Conference on. IEEE, 2012.Sturm, Jürgen, et al. "A benchmark for the evaluation of RGB-D SLAM systems." Intelligent Robots and Systems (IROS), 2012 IEEE/RSJ International Conference on. IEEE, 2012. ;A Geiger et al. 
Linnaeus 5 dataset ;Images of 5 classes of objects. ;Classes labelled, training set splits created. ;8000 ;Images ;Classification ;2017 ;Chaladze, G., Kalatozishvili, L. (2017).Linnaeus 5 dataset.Chaladze.com. Retrieved 13 November 2017, from  ;Chaladze & Kalatozishvili 
FieldSAFE ;Multi-modal dataset for obstacle detection in agriculture including stereo camera, thermal camera, web camera, 360-degree camera, lidar, radar, and precise localization. ;Classes labelled geographically. ;>400 GB of data ;Images and 3D point clouds ;Classification, object detection, object localization ;2017 ; arxiv = 1709.03526  ; M. Kragh et al. 
11K Hands ;11,076 hand images (1600 x 1200 pixels) of 190 subjects, of varying ages between 18 – 75 years old, for gender recognition and biometric identification. ;None ;11,076 hand images ;Images and (.mat, .txt, and .csv) label files ;Gender recognition and biometric identification ;2017 ;class=cs.CV ;M Afifi 
CORe50 ;Specifically designed for Continuous/Lifelong Learning and Object Recognition, is a collection of more than 500 videos (30fps) of 50 domestic objects belonging to 10 different categories. ;Classes labelled, training set splits created based on a 3-way, multi-runs benchmark. ;164,866 RBG-D images  ;images (.png or .pkl) and (.pkl, .txt, .tsv) label files ;Classification, Object recognition ;2017 ;class=cs.CV ;V. Lomonaco and D. Maltoni 
OpenLORIS-Object ;Lifelong/Continual Robotic Vision dataset (OpenLORIS-Object) collected by real robots mounted with multiple high-resolution sensors, includes a collection of 121 object instances (1st version of dataset, 40 categories daily necessities objects under 20 scenes). The dataset has rigorously considered 4 environment factors under different scenes, including illumination, occlusion, object pixel size and clutter, and defines the difficulty levels of each factor explicitly.  ;Classes labelled, training/validation/testing set splits created by benchmark scripts.  ;1,106,424 RBG-D images  ;images (.png and .pkl) and (.pkl) label files ;Classification, Lifelong object recognition, Robotic Vision ;2019 ;class=cs.CV ;Q. She et al. 
THz and thermal video data set ;This multispectral data set includes terahertz, thermal, visual, near infrared, and three-dimensional videos of objects hidden under people's clothes. ;3D lookup tables are provided that allow you to project images onto 3D point clouds. ;More than 20 videos. The duration of each video is about 85 seconds (about 345 frames). ;AP2J ;Experiments with hidden object detection ;2019 ;{{cite journal |last1=Morozov|first1=Alexei|last2=Sushkova|first2=Olga|last3=Kershner|first3=Ivan|last4=Polupanov|first4=Alexander|date=2019-07-09|title=Development of a method of terahertz intelligent video surveillance based on the semantic fusion of terahertz and 3D video images|url= ;Alexei A. Morozov and Olga S. Sushkova 
