 ; Creator ; Development started ; First public release ;Latest stable version ; Stable release date ;Cost (USD) ; License ; Notes 
 Mathcad ; Parametric Technology Corporation ; 1985 ; 1986 ; 15.0 , Prime 4.0access-date=2018-08-12 ; 2 March 2015 ; $1195 (commercial) / $99 (student) ; Proprietary ;  
 Mathematica ; Wolfram Research ; 1986 ; 1988 ; Latest stable software release/Mathematica ; 16 April 2019  ;  Free (Raspberry PiRaspberry Pi now includes Mathematica and Wolfram Language for free), Free Cloud Access, $2495 (commercial) / $145 (student) / $295 (personal)Mathematica Home Edition Released Macworld, February 2009  ; Proprietary ; Also computer algebra system 
 MATLAB ; MathWorks ;late 1970s ; 1984 ;9.8 (R2020a) ; 19 March 2020 ; $2150 (standard) / $500 (education) / $149 (home) / $49 (student) ; Proprietary ; Numerical computation and simulation with extended 2D/3D visualization. Emphasis on vectorised processing. 
 Maxima ; MIT Project MAC and Bill Schelter et al. ; 1967 ; 1982 ; 5.41.0 ; 3 October 2017 ; free ; GPL ; Mainly a computer algebra system 
 MLAB ; Civilized Software, Inc. ; 1970 (in SAIL), 1985 (in C) ; 1972 (on DEC-10), 1988 (on PCs), 1993 (on MACs) ; 2015 ; 2015 ; $2250 (standard) / $50 (student) ; Proprietary ; Numerical and Statistical computation for Scientific Applications, e.g. Chemical Kinetics. ODE Solving and Curve-Fitting. Symbolic Differentiation, Survival Analysis, Cluster Analysis, 2D/3D Graphics.  
 Origin ; OriginLab ; ; 1991 ; 2019b ; April 24, 2019 ; $1095 (std.)/$1800 (Pro)$550 (std., academic)$850 (Pro, academic) $69/yr. (Pro, student) ; Proprietary ; Integrated data analysis graphing software for science and engineering.  Flexible multi-layer graphing framework. 2D, 3D and statistical graph types. Built-in digitizing tool. Analysis with auto recalculation and report generation. Built-in scripting and programming languages. 
 Perl Data Language ; Karl Glazebrook ;1996 ;c. 1997 ; 2019 ; 5 May 2018 ; free ; Artistic License ; Used for astrophysics, solar physics, oceanography, biophysics, and simulation. 2D plotting via PGPLOT, PLPlot bindings, 3D via GL. 
 PSPP ; Ben Pfaff ; 1990s ; 1990s ; 1.2.0 ; 6 November 2018 ; free ; GPL v.3 or later ; FOSS statistics program, intended as an alternative to IBM SPSS Statistics.  Capabilities of PSPP include analysis of sampled data, frequencies, cross-tabs comparison of means (t-tests and one-way ANOVA), linear regression, logistic regression, reliability (Cronbach's Alpha, not failure or Weibull), and re-ordering data, non-parametric tests, factor analysis, cluster analysis, principal components analysis, chi-square analysis and more. 
 R ; R Foundation ; 1997 ; 1997 ; 3.6.3 ; 29 February 2020 ; free ; GPL ; Primarily for statistics, but there are many interfaces to open-source numerical software 
 SageMath ; William Stein ;  ; 2005 ; Latest stable software release/SageMath ; 20 May 2020 ; free ; GPL ; Programmable, includes computer algebra, 2D+3D plotting. Interfaces to many open-source and proprietary software. Web based interface HTTP or HTTPS 
 SAS ; Anthony Barr and James Goodnight ; 1966 ; 1972 ; 9.4 ; 10 July 2014 ; Not free ; Proprietary ; Mainly for statistics 
 SequenceL ; Texas Multicore Technologies ; 1989 ; 2012 ; 2.4 ; 10 February 2016 ;  Free (Community Edition), $2495 (Professional Edition) ; Proprietary ; Functional programming language and tools.  SequenceL delivers high performance on multicore hardware with ease of programming, and code clarity/readability. Designed to work with other languages, including C, C++, C#, Java, Fortran, Python, etc. Can be compiled to multithreaded C++ (and optionally OpenCL) code with no explicit indications from the programmer of how or what to parallelize. A platform-specific runtime manages the threads safely. 
 S-Lang ; John E. Davis ; ; 1992 ; 2.3.0 ; 18 September 2014 ; free ; GPL, Artistic License (1.x only) ; Available as a standalone (slsh) and embedded interpreter (jed, slrn, ...) 
 Scilab ;ESI Group Was:Inria ; 1990 ; 1994 ; 6.1.0 ; 25 February 2020 ; free ; GPL ; Programmable, direct support of 2D+3D plotting. Interfaces to many other software packages. Interfacing to external modules written in C, Java, Python or other languages. Language syntax similar to MATLAB. Used for numerical computing in engineering and physics. 
 Sysquake ; Calerga ; ; 1998 ; 5.0 ; 2013 ; free / $2500 (Pro, commercial) / $1000 (Pro, academic) ; Proprietary ; interactive graphics 
 TK Solver ; Universal Technical Systems, Inc. ;late 1970s ; 1982 ; 6.0.152 ; 2020 ; $599 commercial / $49 (student) ; Proprietary ; Numerical computation and rule-based application development 
 VisSim ; Visual Solutions ; ; 1989 ; 10.1 ; January 2011 ; $495-$2800 (commercial)free view-only version$50-$250/free v3.0 (academic) ; Proprietary ; Visual Language for simulation and Model Based Design. Used in business, science and engineering. Performs complex scalar or matrix based ODE solving with parametric optimization. Has 2D and 3D plotting, 3D animation, and state transition built in. 
 Yorick ; n/a ; n/a ; n/a ; 9 ; January 2015 ; free ; GPL ; Programmable, callable 2D+3D plotting. Language syntax similar to C. Interfacing to other software packages via C calls. 
