 "2",| Launch system ; "2",| Launch system ; Country of origin ; Class and type ; Payload capacity ; Payload capacity ; Payload capacity ; Maiden flight ; Manufacturer ; Status ; Ref 
 J-I ; J-I ; JPN ; Experimental expendable launch vehicle ; - ; - ; 1054 along kg downrange. 1300; 1996 ; NASDA/ISAS ; Retired ;  
 Jielong-1 ; Jielong-1 ; CHN ; Small lift expendable launch vehicle ; ; n/a ; 150 to kg (SSO) 700; 2019 ; CALT ; In service ;  
 Kaituozhe ; Kaituozhe-1 ; CHN ; Small lift expendable launch vehicle ; 100 kg; Not applicable ; ; 2002 ; CASC ; Retired ;  
 Kaituozhe ; Kaituozhe-2 ; CHN ; Small lift expendable launch vehicle ; 800 kg; ; ; 2017 ; CASC ; In service ;  
 Kaituozhe ; Kaituozhe-2A ; CHN ; Medium lift expendable launch vehicle ; 2000 km; ; ; Unconfirmed ; CASC ; Unknown ;  
 Kuaizhou ; Kuaizhou 1 ; CHN ; Small lift expendable launch vehicle ; ; n/a ; 430 to kg (SSO) 500; 2013 ; CASC ; In service ;  
 Kuaizhou ; Kuaizhou-1A ; CHN ; Small lift expendable launch vehicle ; 300 kg; n/a ; 250 to kg (SSO)500 to km (SSO) 200; 2017 ; CASC ; In service ;  
 Kuaizhou ; Kuaizhou-11 ; CHN ; Small lift expendable launch vehicle ; 1500 kg; ; 1000 to kg (SSO) 700; 2019-20 (Planned) ; CASC ; Under development ;  
 Kuaizhou ; Kuaizhou-21 ; CHN ; Heavy lift expendable launch vehicle ; 20,000 kg; ; ; 2025 (Projected) ; CASC ; Under development ; access-date=2 December 2019 
 Kuaizhou ; Kuaizhou-31 ; CHN ; Super heavy lift expendable launch vehicle ; 70,000 kg; ; ; TBD ; CASC ; Under development ; access-date=2 December 2019 
 Lambda (rocket family) ; Lambda (rocket family) ; JPN ; Small lift expendable launch vehicle ; 26  kg; ; ; 1970 ; ISAS/Nissan ; Retired ;  
 Long 1 March rocket family ; Long March 1 ; CHN ; Small lift expendable launch vehicle ; 300 kg; n/a ; ; 1970 ; MAI/CASC/CAST ; Retired ;  
 Long 1 March rocket family ; Long March 1D ; CHN ; Small lift expendable launch vehicle ; 930 kg; n/a ; ; 1995 ; CALT ; Retired ;  
 Long March 2 ; Long March 2A ; CHN ; Medium lift expendable launch vehicle ; 2000 kg; ; ; 1974 ; CALT ; Retired ;  
 Long March 2 ; Long March 2C ; CHN ; Medium lift expendable launch vehicle  ; 3850 kg; 1250 kg; 1900 to SSO kg; 1982 ; CALT ; In service ;  
 Long March 2 ; Long March 2D ; CHN ; Medium lift expendable launch vehicle  ; 3500 kg; ; 1300 to SSO kg; 1992 ; CALT ; In service ;  
 Long March 2 ; Long March 2E ; CHN ; Medium lift expendable launch vehicle  ; 9500 kg; 3500 kg; ; 1990 ; CALT ; In service ;  
 Long March 2 ; Long March 2F ; CHN ; Medium lift expendable launch vehicle  ; 8400 kg; ; ; 1990 ; CALT ; In service ;  
 Long March 3 ; Long 3 March ; CHN ; Medium lift expendable launch vehicle ; 5000 kg; 1500 kg; ; 1984 ; CALT ; Retired ;  
 Long March 3 ; Long March 3A ; CHN ; Medium lift expendable launch vehicle ; 8500 kg; 2600 kg; 1600 to HCO kg; 1993 ; CALT ; In service ;  
 Long March 3 ; Long March 3B, 3B/E ; CHN ; Medium lift expendable launch vehicle ; 11500 kg; 5100 kg; 3300 to HCOkg to GEO 2000; 1996 ; CALT ; In service ;  
 Long March 3 ; Long March 3C, 3C/E ; CHN ; Medium lift expendable launch vehicle ; ; 3900 kg; 2400 to HCO kg; 2008 ; CALT ; In service ;  
 Long March 4 ; Long March 4A ; CHN ; Medium lift expendable launch vehicle  ; 4000 kg; ; 1500 to Sun-synchronous orbit kg; 1988 ; CALT ; Retired ;  
 Long March 4 ; Long March 4B ; CHN ; Medium lift expendable launch vehicle ; 4200 kg; 1500 kg; 2800 to SSO kg; 1999 ; CALT ; In service ;  
 Long March 4 ; Long March 4C ; CHN ; Medium lift expendable launch vehicle ; 4200 kg; 1500 kg; 2800 to SSO kg; 2006 ; CALT ; In service ;  
 Long March 5 ; Long March 5 ; CHN ; Heavy lift expendable launch vehicle ; 25000 (kg x 200) km; 14000 kg; 8200 to TLI kg; 2016 ; CALT ; In service ;  
 Long March 6 ; Long March 6 ; CHN ; Small lift expendable launch vehicle ; ; n/a ; 1080 to kg (SSO) 700; 2015 ; CALT ; In service ;  
 Long March 7 ; Long March 7 ; CHN ; Medium lift expendable launch vehicle ; 13500 (kg x 200) km; 5500 kg; ; 2016 ; CALT ; In service ;   
 Long March 9access-date=4 December 2014 ; Long March 9access-date=4 December 2014 ; CHN ; Super heavy lift ; 140,000access-date=4 September 2018 ; 66,000 ; 50,000 to TLI  44,000 to TMIaccess-date=4 September 2018 ; 2028–2030 ; CALT ; In development 
 Long March 11 ; Long March 11 ; CHN ; Small lift expendable launch vehicle ; 700 kg; ; 350 to kg (Sun-synchronous orbit) 700; 2015 ; CALT ; In service ;  
 Mu (rocket family) ; Mu-3C ; JPN ; Small lift expendable launch vehicle ; 195  kg; ; ; 1974 ; ISAS/Nissan/IHI ; Retired ;  
 Mu (rocket family) ; Mu-3H ; JPN ; Small lift expendable launch vehicle ; 300 kg; ; ; 1977 ; ISAS/Nissan/IHI ; Retired ;  
 Mu (rocket family) ; Mu-3S ; JPN ; Small lift expendable launch vehicle ; 300 kg; ; ; 1980 ; ISAS/Nissan/IHI ; Retired ;  
 Mu (rocket family) ; Mu-3SII ; JPN ; Small lift expendable launch vehicle ; 770 kg; ; ; 1985 ; ISAS/Nissan/IHI ; Retired ;  
 Mu (rocket family) ; Mu-4S ; JPN ; Small lift expendable launch vehicle ; 180 kg; ; ; 1971 ; ISAS/Nissan/IHI ; Retired ;  
 Mu (rocket family) ; M-V ; JPN ; Small lift expendable launch vehicle ; 1850 kg; ; 1300 to Polar LEO kg; 1997 ; ISAS/Nissan/IHI ; Retired ;  
 N (rocket family) ; N-I ; USJPN ; Small lift expendable launch vehicle ; 1200 kg; 360 kg; ; 1975 ; Mitsubishi Heavy Industries/McDonnell Douglas ; Retired ;  
 N (rocket family) ; N-II ; USJPN ; Medium lift expendable launch vehicle ; 2000 kg; 730 kg; ; 1981 ; Mitsubishi Heavy Industries/McDonnell Douglas ; Retired ;  
 Paektusan-1 ; Paektusan-1 ; PRK ; Small lift expendable launch vehicle ; 700 kg; ; ; 1998 ; KCST ; Retired ;  
 Polar Satellite Launch Vehicle ; PSLV-G ; IND ; Medium lift expendable launch vehicle ; 3200 kg; 1050 kg; 1600 to SSO kg; 1993 ; ISRO ; Retired ;  
 Polar Satellite Launch Vehicle ; PSLV-CA ; IND ; Medium lift expendable launch vehicle ; 2100 kg; ; 1100 to SSO kg; 2007 ; ISRO ; In service ;  
 Polar Satellite Launch Vehicle ; PSLV-XL ; IND ; Medium lift expendable launch vehicle ; 3800 kg; 1300 kg; 1750 to SSOkg to TMI 1350; 2008 ; ISRO ; In service ;  
 Polar Satellite Launch Vehicle ; PSLV-DL ; IND ; Medium lift expendable launch vehicle ; 2100 kg; ; 1100 to SSO kg; 2019 ; ISRO ; In service ;  
 Polar Satellite Launch Vehicle ; PSLV-QL ; IND ; Medium lift expendable launch vehicle ; 3800 kg; 1300 kg; 1750 to SSOkg to TMI 1350; 2019 ; ISRO ; In service ;  
 Polar Satellite Launch Vehicle ; PSLV-3S ; IND ; Small lift expendable launch vehicle ; 500 (kg 550; ; ; n/a ; ISRO ; Concept only ;  
 Qonoos ; Qonoos ; IRI ; Medium lift expendable launch vehicle ; 3500 kg; 1500 kg; ; 2025 (Projected) ; ISA ; Under development ; date=December 2019 
 Reusable Launch Vehicle ; Reusable Launch Vehicle ; IND ; TSTO Reusable launch system ; ; ; ; 2016 (Flight experiment) ; ISRO ; Under development ;  
 RPS-420 ; Pengorbitan-1 ; IDN ; Small lift expendable launch vehicle ; 25 kg; n/a ; ; TBD ; LAPAN ; Proposed ;  
 RPS-420 ; Pengorbitan-2 ; IDN ; Small lift expendable launch vehicle ; 50 kg; n/a ; ; TBD ; LAPAN ; Proposed ;  
 S-Series (rocket family) ; SS-520 ; JPN ; Small lift expendable launch vehicle ; 100 (>kg 300; n/a ; ; 1980 ; IHI Corporation ; In service ;  
 Safir ; Safir ; IRI ; Small lift expendable launch vehicle ; 65 kg; n/a ; ; 2008 ; ISA ; In service ;  
 Satellite Launch Vehicle ; Satellite Launch Vehicle ; IND ; Small lift expendable launch vehicle ; 40 (kg 400; n/a ; ; 1979 ; ISRO ; Retired ;  
 Shavit ; Shavit ; ISR ; Small lift expendable launch vehicle ; 800 kg; n/a ; ; 1988 ; Israel Aerospace Industries ; In service ;  
 Simorgh ; Simorgh ; IRI ; Small lift expendable launch vehicle ; 350 kg; n/a ; ; 2016 (Sub-orbital) ; ISA ; Under development ;  
 Small Satellite Launch Vehicle ; Small Satellite Launch Vehicle ; IND ; Small lift expendable launch vehicle ; 500 (kg) 500; n/a ; 300 kg; 2020 (Planned) ; ISRO ; Under development ;  
 TSLV ; TSLV ; ROC ; Small lift expendable launch vehicle ; 50 (kg) 700; n/a ; ; TBD ; NSPO ; Under development ;  
 Unha ; Unha ; PRK ; Small lift expendable launch vehicle  ; 200 (kg x 465) km; n/a ; ; 2009 ; KCST ; In service ;  
 Unified Modular Launch Vehicle ; ULV with 6 x S-13 boosters ; IND ; Medium lift expendable launch vehicle ; 4500 kg; 1500 kg; ; No earlier than 2022 ; ISRO ; Under development ; newspaper = The Times of India 
 Unified Modular Launch Vehicle ; ULV with 2 x S-60 boosters ; IND ; Medium lift expendable launch vehicle ; 10000 kg; 3000 kg; ; No earlier than 2022 ; ISRO ; Under development ; newspaper = The Times of India 
 Unified Modular Launch Vehicle ; ULV with 2 x S-139 boosters ; IND ; Medium lift expendable launch vehicle ; 12000 kg; 4500 kg; ; No earlier than 2022 ; ISRO ; Under development ; newspaper = The Times of India 
 Unified Modular Launch Vehicle ; ULV with 2 x S-200 boosters ; IND ; Medium lift expendable launch vehicle ; 15000 kg; 6000 kg; ; No earlier than 2022 ; ISRO ; Under development ; newspaper = The Times of India 
 Unified Modular Launch Vehicle ; HLV variant ; IND ; Heavy lift expendable launch vehicle ; 20000 kg; 10000 kg; ; 2020s ; ISRO ; Under development ; newspaper = The Times of India 
 Unified Modular Launch Vehicle ; SHLV variant ; IND ; Super heavy lift expendable launch vehicle ; 41300-kg 60000; 16300 kg; ; 2020s ; ISRO ; Under development ; newspaper = The Times of India 
 Uydu Fırlatma Sistemi ; Uydu Fırlatma Sistemi ; TUR ; Small lift expendable launch vehicle ;Microsatellites (700) km; n/a ; ; TBD ; ROKETSAN ; Under development ;  
 Yun Feng SLV ; Yun Feng SLV ; ROC ; Small lift expendable launch vehicle ; 200 (kg 500; n/a ; ; TBD ; NCSIST ; Under development ;  
