 Engine ; Origin ; Designer ; Vehicle ;Status ; Use ; Propellant ; Specific impulse (s)At sea level if denoted SL, in vacuum otherwise ; Thrust (N)name=VSL ; Mass (kg) ; Thrust:zwspweight ratioWeight is calculated at standard gravity. ; Chamber pressure (bar) ; Oxidiser:zwspfuel ratio  
 GEM 63 ; USA ; Northrop Grumman ; Atlas V ; Development ; Booster ;HTPB ;  ; 1,662,745 ;44,225 ; ; ; 
 GEM 63XL ; USA ; Northrop Grumman ; Vulcan ; Development ; Booster ;HTPB ;  ;2025720 ;47,990 ; ; ; 
 Hadley ; USA ; Ursa Major Technologies ; GOLauncher 1{{cite web|website=TMRO|title=Generation Orbit - 9.28|date=2016-09-11|url= ;Development ; 1st ; RP-1/LOX ; ; 22,241 (SL) ; ; ; ; 
 HM-7B ; EUR ; Snecma ; Ariane 2Ariane 3Ariane 4Ariane 5 ECA ; Active ; Upper ; LH2/LOX ; 446310   (SL) ; 64,800  43,600 (SL) ; 165 ; 43.25 ; 37 ; 5 
 LE-5B ; JPN ; MitsubishiJAXA ; H-IIAH-IIB ; Active ; Upper ; LH2/LOX ; 447 ; 137,000 ; 269 ; 51.93 ; 36.0 ; 5 
 LE-7A ; JPN ; MitsubishiJAXA ; H-IIAH-IIB ; Active ; 1st ; LH2/LOX ; 438338   (SL) ; 1,098,000870,000 (SL) ; 1,800 ; 62.2 ; 121 ; 5.9 
 Lightning 1 ; USA ; Firefly Aerospace ; Alpha ; Development ; 2nd ; RP-1/LOX ; 322 ; 70,100 ; ; ; ; 
 Merlin 1D FT ; USA ; SpaceX ; Falcon 9 B5Falcon Heavy ; Active ; 1st ; RP-1/LOX ; 311 ; 914,000845,000   (SL) ; 470 ; 194.5 ; ; 
 Merlin Vacuum 1D ; USA ; SpaceX ; Falcon 9 B5Falcon Heavy ; Active ; 2nd ; RP-1/LOX ; 348 ; 981,000{{Cite web|title=SpaceX|url= ; ; ; ; 2.36 
 Mira (LM10) ; Italy ; Avio ; Vega E ; Development ; 3rd ; CH4/LOX ; 362.3 ; 98,100 ; 250 ; 40 ; ; 3.4 
 NewtonThree ; USA ; Virgin Galactic ; LauncherOne ; Development ; Booster ; RP-1/LOX ; ; 266,893{{cite web|url= Service Guide|archive-url= ; ; ; ; 
 NewtonFour ; USA ; Virgin Galactic ; LauncherOne ; Development ; 2nd ; RP-1/LOX ; ; 22,241 ; ; ; ; 
 NK-33A (AJ26-62)  11Д111/14Д15 ; USSR ; JSC Kuznetsov ; Antares 100Soyuz-2-1v ; Active ; 1st ; RP-1/LOX ; 331297 (SL) ; 1,680,0001,510,000 (SL) ; 1,222 ; 136.8 ; 145 ; 
 P80 ; EUR ; Avio ; Vega ; Active ; 1st ; HTPB ; 280 ; 3,015,000 ; 96,000 withfuel ; ; ; 
P120C ; EUR ; Avio ; Ariane 6Vega-C ; Development ; Booster, 1st ; HTPB ; 279Press release: Successful first test firing for the P120C solid rocket motor for Ariane 6 and Vega-C ; 4,650,000 ; 161,000 withfuel ; ; ; 
 P230 ; EUR ;Avio ; Ariane 5 ; Active ; Booster ; HTPB ; 286259   (SL) ; 6,470,000  5,860,000 (SL) ; 269,000 withfuel ; ; ; 
 S139 ; IND ; SDSC ; PSLV  ; Active ; 1st ; HTPB ; 269 ; 486,0000 ; 160,200with fuel ; ; 58 ; 
 Raptor ; USA ; SpaceX ; Starship ; Development ; 1st, 2nd ; CH4/LOX ; 356330  (SL) ; 2,205,000 (SL, est) ; prefix=~ (goal)Elon Musk on Twitter: Max thrust version of Raptor should achieve true T/W > 170. Target is 1.5 ton engine with >260 t-F. Max Isp version should achieve ~380 sec, but T/W probably <120 due to big nozzle. These are just guesses for now. ; prefix=≥ (goal) ; 330language=en-US ; 3.6 
 Raptor Vacuum ; USA ; SpaceX ; Starship ; Development ; 2nd ; CH4/LOX ; 380+ quote= ; 2,150,000 ; prefix=~ (goal) ; prefix=≤ (goal) ; 330 ; 3.6 
 RD-0124 14Д23 ; RUS ; KBKhA ; Soyuz-2.1bSoyuz-2-1vAngara ; Active ; 2nd, 3rd ; RP-1/LOX ; 359 ; 294,300 ; 520 ; 57.7 ; 160 ; 
 RD-0146D ; RUS ; KBKhA ; Angara ; Development ; Upper ; LH2/LOX ; 470 ; 68,600 ; ; ; 59 ; 
 RD-107A  14Д22 ; RUS ; NPO Energomash ; Soyuz-FGSoyuz-2 ; Active ; 1st ; RP-1/LOX ; 320.2263.3  (SL) ; 1,019,892  839,449 (SL) ; 1,090 ; 78.53 ; 61.2 ; 
 RD-108A  14Д21 ; RUS ; NPO Energomash ; Soyuz-FGSoyuz-2 ; Active ; 2nd ; RP-1/LOX ; 320.6 257.7 (SL) ; 921,825  792,377 (SL) ; 1,075 ; 75.16 ; 55.5 ; 
 RD-171MMost powerful multi-chamber rocket engine in the world11Д520 ; RUS ; NPO Energomash ; Zenit-2MZenit-3SLZenit-3SLBZenit-3SLBFSoyuz-5 ; Active ; 1st ; RP-1/LOX ; 337.2309.5  (SL) ; 7,904,160  7,256,921 (SL) ; 9,300 ; 79.57 ; 250 ; 
 RD-180 ; RUS ; NPO Energomash ; Atlas VAtlas III ; Active ; 1st ; RP-1/LOX ; 338.4311.9  (SL) ; 4,152,136  3,826,555 (SL) ; 5,480 ; 71.2 ; 261.7 ; 2.72 
 RD-181 ; RUS ; NPO Energomash ; Antares 200 ; Active ; 1st ; RP-1/LOX ; 339.2 311.9 (SL) ; 2,085,000  1,922,000 (SL) ; 2,200 ; 89 ; 262.6 ; 
 RD-191 ; RUS ; NPO Energomash ; Angara ; Active ; 1st ; RP-1/LOX ; 337.5311.2  (SL) ; 2,084,894  1,922,103 (SL) ; 2,200 ; 89.09 ; 262.6 ; 
 RD-193 ; RUS ; NPO Energomash ; Soyuz-2-1v ; Development ; 1st ; RP-1/LOX ; 337.5url =  = Журнал «Новости космонавтики» 311.2 (SL) ; 2,084,894  1,922,103 (SL) ; 1,900 ; 103.15 ; ; 
 RD-276  14Д14М ; RUS ; NPO Energomash ; Proton-M  ; Active ; 1st ; N2O4/UDMH ; 315.8288  (SL) ; 1,831,882  1,671,053 (SL) ; 1,120 ; 171.2 ; 168.5 ; 
 RD-8  11D513 ; USSR ; Pivdenne/Pivdenmash ; Zenit  ; Active ; 2nd vernier ; RP-1/LOX ; 342 ; 78,450 ; 380 ; ; 77.47 ; 2.4 
 RD-801 ; UKR ; Pivdenne/Pivdenmash ; Mayak  ; Development ; 1st ; RP-1/LOX ; 336 {{Cite web|url=300.7 (SL) ; 1,339,2551,198,608 (SL) ; 1,630 ;  ; 180 ; 2.65 
 RD-809K ; UKR ; Pivdenne/Pivdenmash ; Mayak ; Development ; Upper ; RP-1/LOX ; 352  ; 98,067 ; 330 ;  ;  ; 2.62 
 RD-810 ; UKR ; Pivdenne/Pivdenmash ; Mayak, Zenit ; Development ; 1st ; RP-1/LOX ; 335.5 {{Cite web|url=299 (SL) ; 2,104,8901,876,149 (SL) ; 2,800 ;  ; 180 ; 2.65 
 RD-843 ; UKR ; Pivdenne/Pivdenmash ; Vega  ; Active ; upper ; N2O4/UDMH ; 315.5 ; 2,452 ; 15.93 ;  ; 20.4 ; 2.0 
 RD-861K ; UKR ; Pivdenne/Pivdenmash ; Cyclone-4M ; Development ; 2nd ; N2O4/UDMH ; 330 {{Cite web|url= ; 77,629 ; 207 ;  ; ; 2.41 
 RD-870 ; UKR ; Pivdenne/Pivdenmash ; Cyclone-4M ; Development ; 1st ; RP-1/LOX ; 340 301.5 (SL) ; 876,715777,667 (SL) ; 1353 ; ; ; 2.684 
 Reaver 1 ; USA ; Firefly Aerospace ; Alpha ; Development ; 1st ; RP-1/LOX ; 295.6 ; 184,000 ; ; ; ; 
 RL-10A-4-2 ; USA ; Aerojet Rocketdyne ; Atlas IIIB Atlas V ; Active ; Upper ; LH2/LOX ; 451 ; 99,195 ; 168 ; 60.27 ; 42 ; 5.5 
 RL-10B-2 ; USA ; Aerojet Rocketdyne ; Delta IIIDelta IVSLS ; Active ; Upper ; LH2/LOX ; 465.5 ; 110,093 ; 301 ; 37.27 ; 44 ; 5.88 
 RL-10C-1 ; USA ; Aerojet Rocketdyne ; Delta IIIDelta IVSLS,Vulcan ; Active ; Upper ; LH2/LOX ; 450 ; 101,820 ; 191 ; 54.5 ; 44 ; 5.5 
 RS-25 ; USA ; Rocketdyne ; Space ShuttleSLS ; Active ; 1st ; LH2/LOX ; 452.3366 (SL) ; 2,279,0001,860,000 (SL)Aerojet Rocketdyne, RS-25 Engine date=2015-12-29  (accessed July 22, 2014) ; 3,526 ; 53.79 ; 206.4 ; 
 RS-68AMost powerful hydrogen-fueled engine in the world ; USA ; Rocketdyne ; Delta IVDelta IV Heavy ; Active ; 1st ; LH2/LOX ; 411362 (SL) ; 3,558,577  3,135,996 (SL) ; 6,686 ; 54.31 ; 109 ; 5.97 
 Rutherford ; NZL USA ; Rocket Lab ; Electron ; Active ; 1st ; RP-1/LOX ; 311 ; 24,465  16,890 (SL) ; ; ; ; 
 Rutherford Vacuum ; NZL USA ; Rocket Lab ; Electron ; Active ; 2nd ; RP-1/LOX ; 343 ; 24,465 ; ; ; ; 
 S200 ; IND ; SDSC ; GSLV Mk III  ; Active ; Booster ; HTPB ; 274.5 ; 5,150,000 ; 207,000with fuel ; ; ; 
 SCE-200 ; IND ; LPSC ; GSLV Mk III  ULV ; Development ; Upper, main ; RP-1/LOX ; 335 299 (SL) ; 2,030,000  1,820,000 (SL) ; 2700 ; ; 180 ; 
 SLS Solid Rocket BoosterLargest, most powerful solid-fuel rocket motor ever built ; USA ; Orbital ATK ; SLS ; Development ; Booster ; PBAN ; 267 ; 16,000,000 ; 730,000  with fuel ; ; ; 
SLV-1 ; IND ; Godrej & Boyce ; PSLV  ; Active ; Booster ; HTPB ; 253 ; 502,600 ; 10,800  with fuel ; ; 43 ; 
SRB-A3 ; JPN ; IHI AerospaceJAXA ;H-IIA H-IIB Epsilon ; Active ; Booster ;HTPB ; 283.6 ; 2,305,000  2,150,000 (SL) ; 76,600  with fuel ; ; 111 ; 
 TEPREL ; Spain ; PLD Space ; Miura 1Miura 5  ; Operational ; 1st ;RP-1/LOX ; 122 ; 32,000 (SL) ; ; ;  ; 
 TQ-12“天鹊”80吨液氧甲烷发动机100%推力100秒试车圆满成功 ; China ; Landspace ; ZQ-2  ; Development ; 1st ; CH4/LOX ; 284 ; 667,000 (SL) ; ; ; 101 ; 
 Vikas (rocket engine) ; IND ; LPSC ;   PSLV GSLV GSLV Mk III  ; Active ; 2nd, main, booster ; N2O4/UDMH ; 262 ; 680,500–804,500 600,500–756,500 (SL) ; ; ; 53.0–58.5 ; 
 Vinci ; EUR ; Snecma ; Ariane 6 ; Development ; Upper ; LH2/LOX ; 467 ; 180,000 ; 280 ; 65.60 ; 61 ; 
 Vulcain 2 ; EUR ; Snecma ; Ariane 5 ; Active ; 1st ; LH2/LOX ; 429318   (SL) ; 1,359,000  939,500 (SL) ; 1,800 ; 77.04 ; 117.3 ; 
 YF-100 ; CHN ; AALPT ;   Long March 5 Long March 6 Long March 7  ; Active ; Booster, 1st ; RP-1/LOX ; 335300   (SL) ; 1,340,000  1,200,000 (SL) ; ; ; 180 ; 
 YF-115 ; CHN ; AALPT ;   Long March 6 Long March 7  ; Active ; 2nd ; RP-1/LOX ; 341.5 ; 176,500 ; ; ; ; 
 YF-21B ; CHN ; AALPT ;   Long March 2E Long March 2F Long March 3  ; Active ; Booster, 1st ; N2O4/UDMH ; 260.66(SL)accessdate=2016-01-16 ; 740,400(SL) ; ; ; ; 
 YF-21C ; CHN ; AALPT ;   Long March 2C Long March 2D Long March 3A Long March 3B Long March 3C Long March 4B Long March 4C  ; Active ; 1st ; N2O4/UDMH ; 260.7(SL) ; 740,400(SL) ; ; ; ; 
 YF-25 ; CHN ; AALPT ;   Long March 3B Long March 3C  ; Active ; Booster ; N2O4/UDMH ; 260.66(SL) ; 740,400(SL) ; ; ; ; 
 YF-22B ; CHN ; AALPT ;   Long March 2E Long March 2F  ; Active ; 2nd ; N2O4/UDMH ; 298.0 ; 738,400 ; ; ; ; 
 YF-22C ; CHN ; AALPT ;   Long March 2C Long March 2D Long March 4B Long March 4C  ; Active ; 2nd ; N2O4/UDMH ; 298.0 ; 742,040 ; ; ; ; 
 YF-22D ; CHN ; AALPT ;   Long March 3  ; Active ; 2nd ; N2O4/UDMH ; 298.0 ; 741,400 ; ; ; ; 
 YF-22E ; CHN ; AALPT ;   Long March 3A Long March 3B Long March 3C  ; Active ; 2nd ; N2O4/UDMH ; 298.0 ; 741,400 ; ; ; ; 
 YF-40 ; CHN ; AALPT ;   Long March 4B Long March 4C  ; Active ; 3rd ; N2O4/UDMH ; 303 ; 103,000 ; ; ; ; 
 YF-50D ; CHN ; AALPT ;   Long March 3B Long March 3C Long March 5 Long March 7  ; Active ; Upper ; N2O4/UDMH ; 315.5 ; 6,500 ; ; ; ; 
 YF-73 ; CHN ; AALPT ; Long March 3 ; Active ; 3rd ; LH2/LOX ; 420.0 ; 44,150 ; ; ; ; 
 YF-75 ; CHN ; AALPT ;   Long March 3A Long March 3B Long March 3C  ; Active ; 3rd ; LH2/LOX ; 438.0 ; 167,170 ; ; ; ; 
 YF-75D ; CHN ; AALPT ; Long March 5 ; Active ; 2nd ; LH2/LOX ; 442.0 ; 86,260 ; ; ; ; 
 YF-77 ; CHN ; AALPT ; Long March 5 ; Active ; 1st ; LH2/LOX ; 430310.2 (SL) ; 700,000510,000 (SL) ; 2,700 ; ; 102 ; 
 YF-90 ; CHN ; AALPT ; Long March 9 ; Development ; 2nd ; LH2/LOX ; 453 ; 2300,000 ;  ; ; ; 
 YF-100 ; CHN ; AALPT ; Long March 7, Long March 5 ; Active ; 1st ; RP-1/LOX ; 300 ; 1223,500 ; 2,700 ; ; 1,33 ; 
 YF-130 ; CHN ; AALPT ; Long March 9 ; Development ; 1st ; RP-1/LOX ; 306 ; 4800,000 ;  ; ;  ; 
 Zefiro 9A ; EU ; Avio ; Vega ; Active ; 3rd ;HTPB ;295.2 ; 314,000 ; 11,400 with fuel ; ; 75 ; 
 Zefiro 23 ; EU ; Avio ; Vega ; Active ; 2nd ;HTPB ;287.5 ;1,122,000 ; 25,935 with fuel ; ; ; 
Delphin ;USA ;Astra Space ;Rocket 3.0{{Cite web|date=2020-03-02|title=Astra scrubs DARPA launch challenge attempt|url= ;Active ;1st ;RP-1/LOX{{Cite web|title=Astra Space Rocket|url= ; ;27000 ; ; ; ; 
Aether ;USA ;Astra Space ;Rocket 3.0{{Cite web|last=By|date=2020-02-28|title=Astra Readies Secretive Silicon Valley Rocket, Firm Exits Stealth Mode, Plans Test Launch|url= ;Active ;2nd ;RP-1/LOX ; ; ; ; ; ; 
