Name ;License ;Cost ;OS X ;Unix-like ;Windows ;Audio ;Images ;Video ;Transcoding ;Web Interface ;DLNA support ;MultilingualFor example, multilingual isn't supported if char 'Й' isn't displayed correctly on movie filename on the client device. ;Implementation ;SubtitlesFor example, subtitles are not supported if they only work with few renderers. ;Still Supported ;Misc. 
KooRaRoo Media ;Prop. ;nonfreeFree version available with fewer features. ;YesRun on MAC OS X using WineBottler ;YesRun on *nix systems using Wine ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;C++ ;YesSupports streaming external subtitles (SRT, SMI, SUB), embedded subtitles and burning-in subtitles (including DVD graphical subtitles) on devices that don't support external subtitles. ;Yes ; 
LimboMedia ;Prop. ;Free ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Java ;Yes ;Yes ; 
LXiMedia ;GPL ;Free ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes, mandatory ;Yes ;Yes ;unknown ;C++ ;Yes ;No ; 
Majestic Media Server ;Prop. ;nonfree ;Yes ;No ;No ;Yes ;Yes ;Yes ;Yes ;No ;unknown ;unknown ;unknown ;unknown ;unknown ; 
MediaMonkey ;Prop. ;nonfree ;No ;No ;Yes ;Yes ;No ;Yes ;Yes ;No ;Yes ;Yes ;Delphi ;Yes ;Yes ; 
MediaTomb ;GPL ;Free ;PartialMac support provided by Fink at http://pdb.finkproject.org/pdb/package.php/mediatomb ;Yes ;No ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;unknown ;C++ ;unknown ;No ; 
GerberaGerbera site ;GPL ;Free ;Yes ;Yes ;No ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;unknown ;C++ ;unknown ;Yes ;Based on MediaTomb 
ReadyMedia (formerly MiniDLNA)ReadyMedia site ;GPL/BSD ;Free ;PartialPatches can be found at  ;Yes ;YesSee  ;Yes ;Yes ;Yes ;PartialPatches and discussion at , and branched version to handle transcoding at  ;PartialWeb interface supported via a Webmin module, see  ;Yes ;unknown ;C ;Yes ;Yes ; 
Mezzmo ;Prop. ;Free ;No ;No ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;C++ ;Yes ;Yes ; 
myiHome ;Prop. ;Free ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;No ;No ;unknown ;unknown ;Java ;unknown ;unknown ; 
MythTV with uPnP ;GPL ;Free ;Yes ;Yes ;No ;Yes ;Yes ;Yes ;Yes ;Yes ;unknown ;unknown ;C++ ;unknown ;unknown ; 
Nullriver Medialink ;Prop. ;nonfree ;Yes ;No ;No ;Yes ;Yes ;Yes ;Yes ;No ;Yes ;unknown ;unknown ;Yes ;unknown ; 
PlayOn ;Prop. ;nonfree ;No ;No ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;C# ;PartialOnly on selected renderers, both embedded subtitles and external SRT ;unknown ; 
Plex ;Prop. ;nonfreeFree version available with fewer features ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;C++ / Python ;Yes ;Yes ; 
PS3 Media Server ;GPL ;Free ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;YesA WIP limited web interface for the optional media library exists in the latest betas. ;Yes ;Yes ;Java ;Yes ;No ; 
PyMedS ;MIT ;Free ;Partial ;Partial ;No ;unknown ;unknown ;unknown ;YesUses ffmpeg for video only ;No ;unknown ;unknown ;Python ;unknown ;No ; 
RygelRygel site ;LGPLv2 ;Free ;No ;Yes ;No Preliminary experimental support available, see  ;Yes ;Yes ;Yes ;Yes ;No ;Yes ;Yes ;Vala ;unknown ;Yes ; 
RivetDiscontinued paid version as of 21 July 2011 see . A free, but unsupported, version is still available. ;Prop. ;Free ;Yes ;No ;No ;Yes ;Yes ;Yes ;No ;No ;unknown ;unknown ;unknown ;unknown ;No ; 
Serviio ;Prop. ;nonfreeFree version available with fewer features ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;YesVia 3rd party add-ons ;Yes ;Yes ;Java ;PartialOnly on selected renderers, and never for embedded subtitles (external SRT only) http://www.serviio.org/index.php?option=com_content&view=article&id=33 ;unknown ; 
SimpleCenter Premium ;Prop. ;nonfree ;No ;No ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;unknown ;unknown ;unknown ;unknown ;unknown ; 
Skifta ;Prop. ;Free ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;No ;No ;Yes ;unknown ;Java ;unknown ;unknown ; 
Songbird ;GPLv2 ;Free ;Yes ;No ;Yes ;Yes ;Yes ;Yes ;No ;No ;Yes ;Yes ;C++ ;No ;NoDevelopment discontinued in June 2013  ; 
TVble ;Prop. ;Free ;No ;No ;Yes ;Yes ;Yes ;Yes ;No ;Yes ;Yes ;No ;C#/C++ ;unknown ;Yes ; 
TVersity ;Prop. ;nonfreeFree version available with fewer features ;No ;No ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;unknown ;unknown ;Yes ;Yes ; 
TVMOBiLi ;Prop. ;Streaming first 10GByte per month is free of charge. ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Partial ;C++ ;Yes ;No ; 
TVShare ;Prop. ;nonfree ;No ;No ;Yes ;Yes ;Yes ;Yes ;Yes ;No ;unknown ;unknown ;Java ;unknown ;unknown ; 
TwonkyMedia server ;Prop. ;nonfree ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;PartialTranscoding supported in TMS 5.0 and later on the PC. Must download FFmpeg, VLC or other 3rd-party transcoding engines to use ;Yes ;Yes ;Yes ;unknown ;unknown ;Yes ; 
Universal Media Server ;GPL ;Free ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Java ;Yes ;Yes ;Based on PS3 Media Server 
Windows Media Connect ;Prop. ;Free Must purchase a Microsoft Windows license to use ;No ;No ;Yes ;Yes ;Yes ;Yes ;Yes  ;No ;Yes ;Yes ;unknown ;unknown ;Yes ; 
Wild Media Server ;Prop. ;Trialware ;YesMAC OS X using WineBottler  ;YesUNIX-like systems by using Wine ;Yes  ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Delphi ;Yes ;Yes ; 
xupnpd ;GPLv2 ;Free ;No ;Yes ;No ;Yes ;unknown ;Yes ;No ;Yes ;Yes ;unknown ;C++ ;unknown ;unknown ; 
Yazsoft Playback ;Prop. ;nonfree ;Yes ;No ;No ;Yes ;Yes ;Yes ;No ;No ;unknown ;unknown ;unknown ;unknown ;No ; 
Name ;License ;Cost ;OS X ;Unix-like ;Windows ;Audio ;Images ;Video ;Transcoding ;Web Interface ;DLNA support ;Multilingual ;Implementation ;Subtitles ;Still Supported ; 
