 Vehicle ; Origin ; Manufacturer ; Payload mass to ... (kg) ; Payload mass to ... (kg) ; Payload mass to ... (kg) ; Orbital launches incl. failuresSuborbital flight tests and on-pad explosions are excluded, but launches failing en route to orbit are included. ; Date of flight ; Date of flight 
 Starship (Additional refuelling launches) ; USA ; SpaceX ; 100,000+title=Mass of initial SN ships will be a little high & Isp a little low, but, over time, it will be ~150t to LEO fully reusable ; 100,000+ ; 100,000+ to Mars surface100,000+ to lunar surface ; 0 ; 2021-2023 (TBD) ; 
 Terran 1 ; USA ; Relativity Space ; 1250 ;  ; 900 to SSO ; 0 ; 2021access-date=5 October 2019 ; 
 Unha ; North Korea ; KCST ; 100 ;  ;  ; 4 ; 2009A suborbital test flight failed in 2006. The first two orbital missions failed in 2009 and 2012, and the rocket finally reached orbit in late 2012. ; 2016 
 Vega ; Europe ; ESA / ASI ; 1500Reference altitude 700 km ;  ; 1330 to SSO ; 15 ; 2012 ; 2019 
 Vega C ; Europe ; ESA / ASI ; 2200name=700km ;  ;  ; 0 ; 2021access-date=10 August 2019 ;  
 Vega E ; Europe ; ESA / ASI ; 3000name=700km ; ;  ; 0 ; 2025 ;  
Vikram l ;IND ;Skyroot Aerospace ;280 ; ;200 to SSPO ;0 ;2021first2=Raghu ;  
 Vikram ll ; IND ; Skyroot Aerospace ; 520 ; ; 410 to SSPO ; 0 ; To be announced ; 
 Vikram lll ; IND ; Skyroot Aerospace ; 720 ; ; 580 to SSPO ; 0 ; To be announced ;  
 Vulcan / Centaur ; USA ; ULA ; 27200 ; 14400 ; 7,200 to GEO 12,100 to TLI ; 0 ; 2021access-date=25 October 2018 ; 
 Yun Feng ; TWN ; National Chung-Shan Institute of Science and Technology ; 200access-date=10 February 2018 ;  ;  ; 0 ; To be announced ;  
 Yenisei ; RUS ; TsSKB-ProgressRSC Energia ; 88,000 – 115,000access-date=6 June 2018 ;  ; 27,000 to TLI{{Cite news|last=|first=|date=24 April 2019|title=Roscosmos unveils characteristics of super-heavy rockets for flights to the Moon (In Russian)|work=RIA NOVOSTI|url= ; 0 ; 2028access-date=20 February 2019 ;   
 Zero ; JPN ; Interstellar Technologies ;  ;  ; 100 to SSOname=500kmaccess-date=11 August 2018 ; 0  ; 2022–2023url-access=limited ; 
 Zhuque-1 ; CHN ; LandSpace ; 300access-date=16 August 2018 ;  ; 200 to SSO ; 1access-date=27 October 2018 ; 2018 ; 2018 
 Zhuque-2 ; CHN ; LandSpace ; 4,000access-date=16 August 2018 ;  ; 2,000 to SSO ; 0  ; 2021{{Cite web|date=2020-09-09|title=China’s Landspace raises $175 million for Zhuque-2 launch vehicles|url= ;  
