 Family ; Country ; manufacturer ; Payload (kg) ; Payload (kg) ; Payload (kg) ; Cost (US$, millions) ; Launches reaching... ; Launches reaching... ; Launches reaching... ; Launches reaching... ; Status ; Date of flight ; Date of flight ; Notes ; Refs 
 Cyclone-4M ; UKR ; Yuzhnoye  Yuzhmash ; 5000 ; 1000 ; -- ; -- ; 0 ; 0 ; 0 ; 0 ; Development, in ; 2021 ; 1E308 ; ;  
 Delta ; USA ; Douglas ; 3848 ; 1312 ; -- ; -- ; 186 ; ; ; ; Retired ; 1960 ; 1989 ; Launched Pioneer & Explorer probes. Variants A, B, C, D, E, G, J, L, M, N, 300, 900, 1X00, 4X00, 2X00, 3X00, 5X00 ;  
 Delta II ; USA ; ULA ; 6000 ; 2171 ; 1508 ; 51 ; 153 ; 152 ; 152 ; 151 ; Retired ; 1989 ; 2018 ; Launched Mars probes MGS to PhoenixVariants: 6000, 7000, and Heavy. ;  
 Delta III ; USA ; Boeing ; 8290 ; 3810 ; -- ; -- ; 3 ; 2 ; 2 ; ; Retired ; 1998 ; 2000 ; ; 
 Delta IV ; USA ; ULA ; 23040 ; 13130 ; 9000 ; -- ; 40Number of Delta IV launches current as of 22 August, 2019. ; 40 ; 39 ; 39 ; Active ; 2002 ; 1E308 ; Variants: M, M+, and Heavy. ; Delta IV Heavy Delta IV 
 Diamant ; FRA ; SEREB ; nts ; -- ; -- ; -- ; 12 ; nts ; nts ; 9 ; Retired ; 1965 ; 1975 ; ; date=March 2013 
 R-36MDnepr ; UKRRUS ; Yuzhmash ; 3600 ; -- ; 750 ; 14 ; 17 ; ; ; ; Retired ; 1999 ; 2015 ; ; date=March 2013 
 Electron ; NZUSA ; Rocket Lab ; 225 ; ; ; 6 ; 14Number of Electron launches current as of 31 August, 2020. ; 14 ; 12 ; 12 ; Active ; 2017 ; 1E308 ; ;  
 Energia ; USSR USSR ; NPO Energia ; 100000 ; 20000 ; 32000 ; 240 (Energia-Buran) ; 2 ; 2 ; 1 ; 1 ; Retired ; 1987 ; 1988 ; 1 partial failure with Polyus spacecraft, 1 successful flight with Buran shuttle. ; Russian Space Web, Energia page. Accessed 21 September 2010 
 Epsilon ; JPN ; IHI Corporation ; 1200 ; -- ; -- ; -- ; 4Number of Epsilon launches current as of 18 January, 2019. ; 4 ; 4 ; 4 ; Active ; 2013 ; 1E308 ; ; JAXA pages: Epsilon Design E , and Result EJAXA, Epsilon E press package 
 Eris ; AUS ; Gilmour Space Technologies ; 305 ; -- ; -- ; -- ; 0 ; 0 ; 0 ; 0 ; Development, in ; 2022 ; 1E308 ; ;  
 Falcon 1 ; USA ; SpaceX ; 420 ; -- ; -- ; 7.9 ; 5 url =   ; 4 ; 2 ; 2 ; Retired ; 2006 ; 2009 ;  ; 
 Falcon 9 v1.0, v1.1, FT, Block 5 ; USA ; SpaceX ; 22800 ; 8300 ; -- ; 61.2 ; F9launchNumber of Falcon 9 launches are updated via manual input into "Template:Falcon rocket statistics". Said page was last updated on statsdate. ; F9success+partial ; F9success+partial ; F9success ; Active ; 2010 ; 1E308 ; Upgrade to version 1.1 in 2013, upgrade to version FT in 2015Launcher of Dragon capsule.  One flight put primary but not secondary payload into correct orbit, one rocket and payload were destroyed before launch in preparation for static fire and thus is not counted. ;  
 Falcon Heavy ; USA ; SpaceX ; 63800 ; 26700 ; -- ; 90–zwsp150 ; FHlaunchFalcon rocket statistics template page last updated on statsdate. ; FHsuccess ; FHsuccess ; FHsuccess ; Active ; 2018 ; 1E308 ; First test launch 2018-02-06 ;accessdate= 2012-08-12 publisher=CNBC 
 GSLV Mark I ; IND ; ISRO ; 5000 ; 2500 ; -- ; -- ; 6 ; 4 ; 2 ; 2 ; Retired ; 2001 ; 2010 ; ; ISRO GSLV  
 GSLV Mark II ; IND ; ISRO ; 5000 ; 2700 ; -- ; -- ; 7Number of GSLV Mark II launches current as of 19 December, 2018. ; 6 ; 6 ; 6 ; Active ; 2010 ; 1E308 ; ;  
 GSLV Mk.III (LVM3) ; IND ; ISRO ; 10000 ; 4000 ; 4000 ; -- ; 3Number of GSLV Mark III launches current as of 22 July, 2019. GSLV Mark III numbers do not include one successful suborbital flight. ; 3 ; 3 ; 3 ; Active ; 2014 ; 1E308 ; ;  
 H-I ; JPN ; Mitsubishi ; 3200 ; ; -- ; -- ; 9 ; 9 ; ; ; Retired ; 1986 ; 1992 ; License-built version of the Thor-ELT ; {{cite web|title=H-1|url= Astronautica|url-status=dead|archiveurl= 
 H-II, IIA & IIB ; JPN ; Mitsubishi ; 19000 ; 8000 ; -- ; prefix=(190), 90,space ; 58Number of H-II (all versions) launches current as of 19 July, 2020. ; 57 ; 56 ; 55 ; Active ; 1994 ; 1E308 ; Variants: A202, A2022, A2024, A204, B ; {{cite web|title=H-IIB Launch Vehicle|url= Heavy Industries|url-status=dead|archiveurl= 
 H3 ; JPN ; Mitsubishi ; 4000-28,300 (base-heavy) ; 7900-14,800 (base-heavy) ; 11900 (heavy) ;  ; 0 ;  ;  ;  ; Development, in ; 2021 ;  ; Variants: 30S, 22S, 32L, 24L, heavy ;  
 Hyperbola-1 ; CHN ; i-Space ; 300 ; -- ; -- ;  ; 1 ; 1 ; 1 ; 1 ; Active ; 2019 ; 1E308 ; ;  
 Hyperbola-2 ; CHN ; i-Space ; 2,000 ; -- ; -- ;  ; 0 ;  ;  ;  ; Development, in ; 2021 ; 1E308 ; ; access-date=16 August 2018 
 Haas ; ROM ; ARCA ; 400 ; ; -- ; -- ; 0 ; 0 ; 0 ; 0 ; Development, in ; TBD ; 1E308 ; Launch from balloon ; accessdate=2017-03-31 
 J-I ; JPN ; IHI Corporation Nissan Motors ; 880 ; -- ; -- ; -- ; 1 ; ; ; ; Retired ; 1996 ; 1996 ; Partial demonstration flight only ; date=March 2013 
 Jielong 1 ; CHN ; CALT ; 200 (SSO) ; -- ; -- ;  ; 1 ; 1 ; 1 ; 1 ; Active ; 2019 ; 1E308 ; ;  
 R-12 & R-14Kosmos ; USSR USSR ; Yuzhnoye Polyot ; 1500 ; -- ; -- ; 12 ; 610 ; ; ; 559 ; Retired ; 1967 ; 2010 ; Variants: 1, 2, 3, 3M ;  
 DF-31 Kaituozhe ; CHN ; CALT ; 800 ; -- ; -- ; -- ; 3Kaituozhe launch numbers current as of 2 March, 2017. ; 1 ; 1 ; 1 ; Active ; 2002 ; 1E308 ; Variants: KT-1, KT-2, KT2-A ;  
 DF-21 Kuaizhou ; CHN ; CASIC ; 400 (KZ-1)–zwsp1,500 (KZ-11) ; -- ; -- ; -- ; 14Number of Kuaizhou launches current as of 15 September, 2020.  ; 14Information of unknown reliability indicates KZ-11 3rd stage failure on 10 July 2020 and possible upper stage failure of KZ-1A on 12 September, 2020. Launches likely reached space. Numbers may change upon availability of additional information. ; 12 ; 12 ; Active ; 2013 ; 1E308 ; Variants: KZ-1, KZ-1A, KZ-11, KZ-21. As of July 2020, KZ-21 is the only unflown variant. ; Gunter's space page: [ 
 Lambda 4S ; JPN ; Nissan ISAS ; nts ; -- ; -- ; -- ; 5 ; nts ; nts ; 1 ; Retired ; 1966 ; 1970 ; ; date=March 2013 
 LauncherOne ; USA ; Virgin Orbit ; 300 (SSO) ; -- ; -- ; -- ; 1LauncherOne launch numbers current as of 25 May, 2020. ; 0 ; 0 ; 0 ; Active ; 2020 ; 1E308 ;  ;  - 25 May 2020 
 Long March 1 ; CHN ; CALT ; 300 ; -- ; -- ; -- ; 2 ; 2 ; 2 ; 2 ; Retired ; 1970 ; 1971 ;  ;  
 Long March 1D ; CHN ; CALT ; 740 ; -- ; -- ; -- ; 0 ; ; ; ; Retired ; 1995 ; 2002 ; 3 suborbital launches only (2 successful.) ;  
 DF-5Long March 2-3-4 ; CHN ; CALT ; 12000 ; 5500 ; 3300 ; ; 325Number of Long March 2-3-4 launches current as of 27 September, 2020.The total number of launches in the CZ-2,3,4 series listed here does not include 6 possible launches [5 possilbe successes and 1 possible failure] of the CZ-2C (3) Variants noted in reference. ; 319 Sources from List of Long March launches are unclear regarding whether 3 failed launches in the CZ-2,3,4 series reached space, thus the number quoted here is the minimum number of launches that reached space while the actual possible number could be greater than the quoted number by up to three. ; 316 ; 310 ; Active ; 1971 ; See notes ; Variants: 2A, 2C, 2D, 2E, 2F,CZ-2F is the crew-rated launcher for the Shenzhou spacecraft. 3, 3A, 3B, 3B/E, 3C, 4A, 4B, 4C. See As of 21 February 2020, the following Variants in the Long March 2-3-4 family of launchers have been retired: 2A, 2E, 3, 3B, and 4A. for retired Variants among those listed here.  ;  
 Long March 5 ; CHN ; CALT ; 25000 ; 14000 ; 8000 ; -- ; 5Number of Long March 5 launches current as of 23 July, 2020. ; 5 ; 4 ; 4 ; Active ; 2016 ; 1E308 ; Variants: 5, 5B ;  date=2009-03-04  
 Long March 6 ; CHN ; CALT ; 1500 ; -- ; -- ; -- ; 3Number of Long March 6 launches current as of 13 November, 2019. ; 3 ; 3 ; 3 ; Active ; 2015 ; 1E308 ;  ;  
 Long March 7 ; CHN ; CALT ; 20000 ; 5500-7000 (7A var.)  ; -- ; -- ; 3Number of Long March 7 launches current as of 16 March, 2020. ; 2 ; 2 ; 2 ; Active ; 2016 ;  ; Variants: 7, 7A ; date=2010-03-15 
 Long March 8 ; CHN ; CALT ; 4500 ; -- ; -- ; -- ; 0 ; ; ; ; Development, in ; 2020 ;  ; 1st stage + boosters with vertical take-off and vertical landing capabilities ;  
 Long March 11 ; CHN ; CALT ; 700 ; -- ; -- ; -- ; 9Number of Long March 11 launches current as of 29 May, 2020. ; 9 ; 9 ; 9 ; Active ; 2015 ;  ; Likely based on DF-31 missile ;  
 Minotaur I ; USA ; Orbital ATK ; 580 ; -- ; -- ; -- ; 11Number of Minotaur I launches current as of 20 November, 2013. ; 11 ; 11 ; 11 ; Active ; 2000 ; 1E308 ; Derived from the Minuteman II ; Orbital Sciences, Minotaur History date=December 4, 2013 Orbital Sciences, Minotaur-1 Overview  (accessed 25 September 2014)] 
 Minotaur IV & V ; USA ; Orbital ATK ; 1735 ; 640 ; 447 ; 50 ; 8Number of Minotaur IV and V launches current as of 15 July 2020. ; 8 ; 8 ; 8 ; Active ; 2010 ; 1E308 ; Also 2 suborbital launches (HTV-2a). Variants: IV, IV Lite, IV HAPS, V. Derived from Peacekeeper missile ; Orbital Sciences, Minotaur IV-V-VI Overview  (accessed 25 September 2014)] 
 Miura 5 ; ESP ; PLD Space ; 300 ; -- ; -- ;  ; 0 ;  ;  ;  ; Development, in ; 2021 ; 1E308 ; ; access-date=29 November 2018 
 Mu 1-3-4 ; JPN ; Nissan Motor IHI ; 770 ; -- ; -- ; -- ; 27 ; ; ; ; Retired ; 1966 ; 1995 ; Variants: 1, 3D, 4S, 3C, 3H, 3S, 3SII ;  
 Mu 5 ; JPN ; Nissan Motor IHI ; 1800 ; -- ; -- ; -- ; 7 ; nts ; nts ; 6 ; Retired ; 1997 ; 2006 ; Variants: M-V, M-V KM ; date=January 2014 
 N1 ; USSR USSR ; NPO Energia ; 90000 ; -- ; 23500 ; -- ; 4 ; 0 ; 0 ; 0 ; Retired ; 1969 ; 1972 ; Designed for Soviet Manned Lunar Mission ;  
 N-I & II ; JPN ; Mitsubishi ; 2000 ; 730 ; -- ; -- ; 15 ; 15 ; 15 ; 14One N-I launch partially failed due to recontact between satellite and upper stage. ; Retired ; 1975 ; 1987 ; Derived from the American Delta rocket ;  
 Naro ; ROK ; Khrunichev KARI ; 100 ; -- ; -- ; -- ; 3 ; 2 ; 1 ; 1 ; Retired ; 2009 ; 2013 ; First stage uses the Russian RD-151 engine ;  
 New Glenn ; USA ; Blue Origin ; 45,000 ; 13,000 ; -- ;  ; 0 ;  ;  ;  ; Development, in ; 2021/2022 ; 1E308 ; ; access-date=8 March 2017 
 New Line ; CHN ; LinkSpace ; 200 (SSO) ; -- ; -- ;  ; 0 ;  ;  ;  ; Development, in ; 2020 ; 1E308 ; ; magazine= Popular Science  
 Nuri ; ROK ; KARI ; 1,500 ; -- ; -- ;  ; 0 ;  ;  ;  ; Development, in ; 2021 ; 1E308 ; ;  
 OmegA ; USA ; Northrop Grumman ;  ; 4,900-zwsp10,100 (intermediate) ; -- ;  ; 0 ;  ;  ;  ; Development, in ; 2021 ; 1E308 ; Variants: intermediate, heavy ;  
 OS-M ; CHN ; OneSpace ; 205 (M1) ; -- ; -- ; -- ; 1 ; 0 ; 0 ; 0 ; Active ; 2019 ; ; Variants: M1, M2, M4. Single M1 failed launch, M2 & M4 in development. ;  
 Pegasus ; USA ; Orbital ATK ; 450 ; -- ; -- ; -- ; 44Number of Pegasus launches current as of 11 October, 2019. ; 43 ; 41 ; 39 ; Active ; 1990 ; 1E308 ;  ;  
 Prime ; UK ; Orbex ; 150 (SSO) ; -- ; -- ; -- ; 0 ; ; ; ; Development, in ; 2021 ; 1E308 ;  ; access-date=4 September 2018 
 UR-500 Proton ; USSR USSRRUS ; Khrunichev ; 23000 ; 6920 ; 5680 ; 65 (Proton-M) ; 424Number of Proton launches current as of 30 July, 2020. ; ; ; 376 ; Active ; 1965 ; 1E308 ; Variants: K, M, Medium in development. ; accessdate=27 November 2018 Circumlunar probe launched by Proton-K/D. 
 PSLV ; IND ; ISRO ; 3800 ; 1200 ; -- ; -- ; 50Number of PSLV launches current as of 11 December, 2019. ; 49 ; 48 ; 47 ; Active ; 1993 ; 1E308 ; Variants: CA, XL, QL, DLLaunched moon probe Chandrayaan I, Mars probe Mangalyaan I ; Polar Satellite Launch Vehicle  
 Qased ; IRN ; IRGC ; unknown ; -- ; -- ; -- ; 1Number of Qased launches current as of 22 April, 2020. ; 1 ; 1 ; 1 ; Active ; 2020 ; 1E308 ;  ; {{cite news |url= |title=Iran places military satellite in orbit ;Now|date=2020-04-22 |accessdate=2020-04-28 |author= Stephen Clark }} 
 UR-100N Rokot Strela ; RUS ; Eurockot Khrunichev ; 2100 ; -- ; -- ; -- ; 37Number of Rokot+Strela launches current as of 26 December, 2019. ; 36 ; 35 ; 35 ; Active ; 1994 ; 1E308 ; 34 Rokot launches (no launches post-2019 due to Ukrainian tech ban), 3 Strela launches. ; Russian Strela Launches Kondor Satellite (retrieved 24 Sept 2014) 
 RS1 ; USA ; ABL Space Systems ; 1200 ; -- ; -- ; 12 ; 0 ;  ;  ;  ; Development, in ; 2020 ; 1E308 ;  ; access-date=30 May 2020 <!-- |- style="background: #f0f0d0" ; Rus-M ; RUS ; NPO Energia ; ; ; -- ; -- ; 0 ; -- ; -- ; -- ; Development, in ; ; 1E308 ;  ; --> 
 Safir ; IRN ; ISA ; 50 ; -- ; -- ; -- ; 7Number of Safir launches current as of 29 August, 2019. Number of launches and possible outcomes are in dispute. See main page at Safir. ; 5 ; 4 ; 4 ; Active ; 2007 ; 1E308 ; Numbers given here may be in dispute ;  
 Saturn I & IB ; USA ; Chrysler Douglas ; 18600 ; -- ; -- ; 19 ; 13 ; 13 ; 13 ; 13 ; Retired ; 1961 ; 1975 ; Saturn 1 family also included 6 suborbital test launches ; NASA, Saturn launch vehicles (PDF) 
 Saturn V ; USA ; Boeing North American Douglas ; 118000 ; -- ; 47000 ; 185 ; 13 ; 13 ; 13 ; ; Retired ; 1967 ; 1973 ; Variants: Apollo, Skylab ;  
 Scout ; USA ; US Air Force NASA ; 210 ; -- ; -- ; -- ; 125 ; 104 ; ; ; Retired ; 1960 ; 1994 ; Variants: X1, X2, A, D, G ;  
 Shavit ; ISR ; IAI ; 225 ; -- ; -- ; 15 ; 11Number of Shavit launches current as of 06 July, 2020 ; 9 ; 9 ; 9 ; Active ; 1988 ; 1E308 ; Variants: Shavit, -1, -2 ;  
 R-29Shtil Volna ; RUS ; Makeyev ; 430 ; -- ; -- ; -- ; 85 of the 8 launches were suborbital (of which 2 failed), 3 of the 8 launches were intended for LEO (2 successes). ; 7 ; 2 ; 2 ; Withdrawn in 2010 ; 1995 ; 2006 ; Variants: Volna, Shtil, 2.1, 2R, 3 ;  
 Simorgh ; IRN ; ISA ; 350 ; -- ; -- ; -- ; 4Number of launches current as of 9 February, 2020. ; 3According of Russian sources, first launch in 2016 was a successful suborbital flight. According to an Iranian government source, third launch (January 2019) failed due to a problem in the rocket's third stage which implies that the vehicle reached space. According to an Iranian government source, fourth launch (February 2020) reached an altitude of about 355 miles but the vehicle failed to achieve orbital velocity. See sources cited in Simorgh Wikipedia page. ; 0 ; 0 ; Active ; 2016 ; 1E308 ;  ;  
 SLS ; USA ; Orbital ATK Boeing United Launch Alliance Aerojet Rocketdyne ; 112,50095,000–zwsp130,000 ; -- ; -- ; -- ; 0 ; 0 ; 0 ; 0 ; Development, in ; 2020 ; 1E308 ; Expected 2020 ; SLS fact sheet, PDF, Nasa websitepublisher=Spaceflight Now 
 SLV ; IND ; ISRO ; 40 ; -- ; -- ; -- ; 4 ; 3 ; 3 ; 2 ; Retired ; 1979 ; 1983 ; Launched Rohini satellite series ; Claude Lafleur, SLV / Indian Launch Vehicle, Spacecraft Encyclopedia (accessed Sept 25 2014) 
 R-7 Semyorka Soyuz ; USSR USSRRUS ; RSC Energia TsSKB-Progress ; 8200 ; 2400 ; 1200 ; -- ; 1918Number of R-7 Semyorka/Soyuz launches current as of 23 July, 2020. ; Due to the existence of ICBM variants, suborbital flights, and the large total number of flights, the number of launches reaching space and those reaching any orbit are not given here in order to lessen the dissemnation of inaccurate information. ; ; 1799The total number of launches and launch successes are taken from the R-7 Semyorka Wikipedia page. ; Active ; 1957 ; 1E308 ; Variants: Sputnik, Luna, Vostok-L, Vostok-K, Voskhod, Molniya, Molniya-L, Molniya-M, Polyot, Soyuz, Soyuz-L, Soyuz-M, Soyuz-U, Soyuz-FG, Soyuz-2, Soyuz-2-1v ;  
 SS-520 ; JPN ; IHI Aerospace ; 4 ; -- ; -- ; -- ; 2Number of SS-520 launches current as of 3 February, 2018. ; 2 ; 1 ; 1 ; ; 2017 ; 1E308 ; 2 successful suborbital flights and 2 orbital flights (one success). A test of how small orbital rockets can be. The rocket has a mass of only 2.6 tonnes. ; {{Cite web|url= 
 Small Satellite Launch Vehicle ; IND ; ISRO ; 500 ; 300 ; -- ; -- ; 0 ; 0 ; 0 ; 0 ; Development, in ; 2020 ; 1E308 ; As of December 2019, design of the rocket has been completed and first developmental flight is to take place in early 2020. ;{{Cite web|url=issn=0971-751X 
 STSSpace Shuttle ; USA ; Alliant Martin Marietta Rockwell ; 24400 ; 3810 ; -- ; 450 ; 135 ; 134 ; 134 ; 133 ; Retired ; 1981 ; 2011 ; Orbiter mass: 68585kg. ;  
 Starship ; USA ; SpaceX ; 150,000 ; 40,000 ; 100,000+With in-orbit refueling ; -- ; 0 ; ; ; ; In development ; 2020 ; 1E308 ; Previously called BFR ; accessdate=2017-10-16 publisher=Teslarati.comdate=20 November 2018 
 RT-2PMStart-1 ; RUS ; MITT ; 532 ; -- ; -- ; -- ; 7Number of Start-1/Start launches current as of 25 April, 2006. ; 6 ; 6 ; 6 ; Active ; 1993 ; 1E308 ;  ;  
 Taurus / Minotaur-C ; USA ; Orbital Sciences ; 1450 ; -- ; -- ; -- ; 9Number of Taurus/Minotaur-C launches current as of 31 October, 2017. ; 9 ; 6 ; 6 ; Active ; 1989 ; 1E308 ; Variants: 2110, 3110, 3210 ;  
 Terran 1 ; USA ; Relativity Space ; 1250 ; -- ; -- ;  ; 0 ;  ;  ;  ; Development, in ; 2021 ; 1E308 ; anticipates 3-D printing most rocket parts ;  
 Thor ; USA ; Douglas ; 1270 ; -- ; 38 ; -- ; 357 ; ; ; ; Retired ; 1957 ; 1980 ; Launched Pioneer & Explorer probes ; 
 LGM-25CTitan I-II-III-IV ; USA ; Martin Marietta ; 21900 ; 5773 ; 8600 ; 350 ; 369 ; ; ; ; Retired ; 1959 ; 2005 ; Variants: I, II, IIIA, IIIB, IIIC, IIID, IIIE, 34D, IVA, IVBGemini launcher ;  
 R-36Tsyklon ; USSR USSRUKR ; Yuzhmash ; 4100 ; -- ; -- ; -- ; 259 ; ; ; ; Retired ; 1967 ; 2009 ; Variants: 1, 2, 3. ;  
 Unified Launch Vehicle ; IND ; ISRO ; 4500–zwsp41,300 ; 1500–zwsp16,300 ; -- ; -- ; 0 ; 0 ; 0 ; 0 ; Development, in ; 1E308 ; 1E308 ; Variants: 6S12, 2S60, 2S138, 2S200 ;  
 Unha-3 ; DPRK ; KCST ; 200 ; -- ; -- ; -- ; 4Number of Unha-2/Unha-3 launches current as of 7 February, 2016. ; 3 ; 2 ; ; Active ; 2006 ; 1E308 ; Variants: Paektusan based on Taepodong-1 missile, Unha based on Taepodong-2 missile. ; "North Korea Successfully Launches Satellite: Reports", SPACE.com, December 12, 2012 (accessed 24 Sept. 2014) 
 Vanguard ; USA ; Martin ; 23 ; -- ; -- ; -- ; 12 ; ; 3 ; ; Retired ; 1957 ; 1959 ;  ;  
 Vega ; EU ; Avio ; 2300 ; -- ; -- ; 23 ; 16Number of Vega (all versions) launches current as of 03 September, 2020. ; 15 ; 15 ; 15 ; Active ; 2012 ; 1E308 ; Vega-C and Vega-E in development. ;  
 Yenisei ; RUS ; TsSKB-ProgressRSC Energia ; 88000-zwsp115000 ;  ; 20000-27,000 ;  ; 0 ;  ;  ;  ; Development, in ; 2028 ; 1E308 ; ; access-date=6 June 2018{{Cite news|last=|first=|date=14 September 2019|title=Possible dates for the launch of the Don super-heavy rocket have been named (In Russian)|work=RIA Novosti|url={{Cite news|last=|first=|date=8 June 2017|title=Russian super-heavy rocket slated to launch in 2028 (In Russian)|work=TASS|url= 
 Vikram ; IND ; Skyroot Aerospace ; \leq 720 ; -- ; -- ;  ; 0 ;  ;  ;  ; Development, in ; 2021 ; 1E308 ; Variants: Vikram 1, Vikram II, Vikram III ;  
 VLM ; BRA ; CTA ; 150 ; -- ; -- ; -- ; 0 ; 0 ; 0 ; 0 ; Development, in ; 202x ; 1E308 ; ;  
 Vulcan ; USA ; ULA ; 2635017,800–zwsp34,900 ; 118507,400–zwsp16,300 ; -- ; 99 ; 0 ; 0 ; 0 ; 0 ; Development, in ; 2021 ; 1E308 ; ; language=en-US 
 Yun Feng ; Taiwan TWN ; National Chung-Shan Institute of Science and Technology ; 50-zwsp200 ; -- ; -- ;  ; 0 ;  ;  ;  ; Development, in ; unknown ; 1E308 ; ; access-date=10 February 2018 
 Zenit ; USSR USSRUKRRUS ; Yuzhnoye ; 13740 ; 6160 ; 4098 ; -- ; 84Number of Zenit launches current as of 26 December, 2017. ; ; 74 ; 72 ; Active ; 1985 ; 1E308 ; Variants: 2, 2M (2SB, 2SLB), 3SL, 3SLB, 3SLBF ;  
