 Manufacturer ; Module ; SOC/SIP Chip ; MCU core ; RAM ; Flash ; Antenna ; Sleep ; TX ; RX ; TX Power ; Sensitivity ; PCB Size ; Released ; Interfacing ; Firmware options 
 California Eastern Laboratories ; ZICM357SP0  datasheet  brochure ; EM357  datasheet  brochure ; 32 bit,  ARM Cortex  -M3 ; 12kB ; 192kB ; PCB Trace Antenna or RF Port for External Antenna ; 1μA ; 31mA ; 30mA ; 8dBm ; –100dBm ; 23.9mm × 16.6mm ; Apr, 2012 ; UART,  SPI,  TWI ; ZigBee PRO stack: EmberZNet PRO 
 California Eastern Laboratories ; ZICM3588SP0  data sheet ; SiLabs EM3588 brochure ; 32 bit,  ARM Cortex  -M3 ; 64kB ; 512kB ; PCB Trace Antenna or U.FL connector ; 2.4μA ; 44mA ; 30mA ; 8dBm ; –100dBm ; 23.9mm × 16.6mm ; Mar, 2014 ; UART,  SPI,  I²S ; CEL ZigBee Stack Synapse SNAP Stack 
 Digi  International ; Series 1 XBee  manual ; Freescale MC13193 datasheet ; 8-bit 689S08A HCS08 ; 4kB ; 60kB ; integrated Whip, chip or U.FL connector, RPSMA connector ; 10μA, 50μA ; 45mA ; 50mA ; 0dBm ; –92dBm ; 24.38mm × 27.61mm ; Dec, 2006 ; UART ; ZigBee stack, DigiMesh network protocol 
 Digi  International ; Series 1 XBee-PRO  manual ; Freescale MC13193 datasheet ; 8-bit 689S08A HCS08 ; 4kB ; 60kB ; integrated Whip, chip or U.FL connector, RPSMA connector ; 10μA, 50μA ; 250mA, 340mA, 180mA ; 55mA ; 18dBm,  10dBm ; –100dBm ; 24.38mm × 32.94mm ; Dec, 2006 ; UART ; ZigBee stack, DigiMesh network protocol 
 Digi  International ; Series 2 XBee ZB  manual ; Ember (now Silicon Labs) EM250 factsheet  datasheet ; 16-bit  12MHz  RISC ; 5kB ; 128kB ; integrated Whip, chip or U.FL connector, RPSMA connector ; 1μA ; 40mA, 35mA ; 40mA, 38mA ; 3dBm,  1dBm ; –96dBm,  –95dBm ; 24.38mm × 27.61mm ; Apr, 2008 ; UART ; Ember ZNet 
 Digi  International ; Series 2 XBee-PRO ZB  manual ; Ember (now Silicon Labs) EM250 factsheet  datasheet ; 16-bit  12MHz  RISC ; 5kB ; 128kB ; integrated Whip, chip or U.FL connector, RPSMA connector ; 10μA ; 295mA, 170mA ; 45mA ; 17dBm,  10dBm ; –102dBm ; 24.38mm × 32.94mm ; Apr, 2008 ; UART ; Ember ZNet 
 Dresden elektronik ; deRFmega128-22M00 2.4GHz  datasheet ; ATmega128RFA1  datasheet ; 8-bit  ATmega ; 16kB ; 128kB ; Chip ceramic antenna ; < 1 μA ; 18mA ; 18mA ; +3dBm ; -98dBm ; 23.6mm× 13.2mm× 3.0mm ; 2012 ; JTAG, UART,  I²C,  ADC,  SPI,  GPIO ; MAC stack ZigBee (BitCloud) 6LoWPAN Atmel 
 Dresden elektronik ; deRFmega128-22M10 2.4GHz  datasheet ; ATmega128RFA1  datasheet ; 8-bit  ATmega ; 16kB ; 128kB ; RF pads ; < 1 μA ; 18mA ; 18mA ; +3dBm ; -98dBm ; 19.0mm× 13.2mm× 3.0mm ; 2012 ; JTAG, UART,  I²C,  ADC,  SPI,  GPIO ; MAC stack ZigBee (BitCloud) 6LoWPAN Atmel 
 Dresden elektronik ; deRFmega128-22M12 2.4GHz  datasheet ; ATmega128RFA1  datasheet ; 8-bit  ATmega ; 16kB ; 128kB ; RF pads ; < 1 μA ; 198mA ; 22mA ; +22dBm ; –105dBm ; 21.5mm× 13.2mm× 3.0mm ; 2012 ; JTAG, UART,  I²C,  ADC,  SPI,  GPIO ; MAC stack ZigBee (BitCloud) 6LoWPAN Atmel 
 Dresden elektronik ; deRFmega256-23M00 2.4GHz  datasheet ; ATmega256RFR2  datasheet ; 8-bit  ATmega ; 32kB ; 256kB ; Chip ceramic antenna ; <1μA ; 19mA ; 11mA ; +3.5dBm ; -98dBm ; 23.6mm× 13.2mm× 3.0mm ; 2013 ; JTAG, UART,  I²C,  ADC,  SPI,  GPIO ; MAC stack ZigBee (BitCloud) 6LoWPAN Atmel 
 Dresden elektronik ; deRFmega256-23M10 2.4GHz  datasheet ; ATmega256RFR2  datasheet ; 8-bit  ATmega ; 32kB ; 256kB ; RF pads ; <1μA ; 19mA ; 11mA ; +3.5dBm ; -98dBm ; 19.0mm× 13.2mm× 3.0mm ; 2013 ; JTAG, UART,  I²C,  ADC,  SPI,  GPIO ; MAC stack ZigBee (BitCloud) 6LoWPAN Atmel 
 Dresden elektronik ; deRFmega256-23M12 2.4GHz  datasheet ; ATmega256RFR2  datasheet ; 8-bit  ATmega ; 32kB ; 256kB ; RF pads ; <1μA ; 233mA ; 17mA ; 23dBm ; –104dBm ; 21.5mm× 13.2mm× 3.0mm  ; 2013 ; JTAG, UART,  I²C,  ADC,  SPI,  GPIO ; MAC stack ZigBee (BitCloud) 6LoWPAN Atmel 
 Dresden elektronik ; deRFsam3-23M10-2 2.4GHz  datasheet ; ATSAM3S4A datasheet AT86RF232 datasheet ; 32-bit  ARM Cortex  -M3 ; 48kB ; 256kB ; RFpads ; <6μA ; 45mA ; 41mA ; +3dBm ; -100dBm ; 21.5mm× 13.2mm× 3.0mm ; 2013 ; JTAG, UART,  I²C,  ADC,  SPI,  GPIO,  USB ; MAC stack ZigBee (BitCloud) 6LoWPAN Atmel 
 Dresden elektronik ; deRFsam3-13M10868,915MHz  datasheet ; ATSAM3S4A datasheet AT86RF212 datasheet ; 32-bit  ARM Cortex  -M3 ; 48kB ; 256kB ; RFpads ; <6μA ; 50mA ; 37mA ; +5or +10dBm ; –110dBm ; 21.5mm× 13.2mm× 3.0mm ; 2013 ; JTAG,  UART,  I²C,  ADC,  SPI,  GPIO,  USB ; MAC stack ZigBee (BitCloud) 6LoWPAN Atmel 
 Dresden elektronik ; deRFusb-23E002.4GHzdeRFusb-23E062.4GHz  datasheet ; ATSAM3S4B datasheetAT86RF231  datasheet ; 32-bit  ARM Cortex  -M3 ; 48kB ; 256kB ; Chip ceramic antenna ; 32mA ; 51mA ; 45mA ; +3dBm ; -97dBm ; 71.0mm× 23.0mm× 8.7mm  ; 2012 ; USB, optional: JTAG, Debug ; MAC stack ZigBee (BitCloud) 6LoWPAN Atmel 
 Dresden elektronik ; deRFusb-23E00JTAG2.4GHzdeRFusb-23E06JTAG2.4GHz  datasheet ; ATSAM3S4B datasheetAT86RF231  datasheet ; 32-bit  ARM Cortex  -M3 ; 48kB ; 256kB ; Chip ceramic antenna ; 32mA ; 51mA ; 45mA ; +3dBm ; -97dBm ; 63.5mm× 19.0mm× 9.5mm ; 2012 ; USB, JTAG, Debug ; MAC stack ZigBee (BitCloud) 6LoWPAN Atmel 
 Dresden elektronik ; deRFusb-13E00868,915MHzdeRFusb-13E06868,915MHz datasheet ; ATSAM3S4B  datasheetAT86RF212 datasheet ; 32-bit  ARM Cortex  -M3 ; 48kB ; 256kB ; Chip ceramic antenna ; 32mA ; 51mA ; 45mA ; +9dBm ; -106dBm ; 71.0mm× 23.0mm× 8.7mm ; 2012 ; USB, optional: JTAG, Debug ; MAC stack ZigBee (BitCloud) 6LoWPAN Atmel 
 Dresden elektronik ; deRFusb-13E00JTAG868,915MHzdeRFusb-13E06JTAG868,915MHz datasheet ; ATSAM3S4B  datasheetAT86RF212 datasheet ; 32-bit  ARM Cortex  -M3 ; 48kB ; 256kB ; Chip ceramic antenna ; 32mA ; 51mA ; 45mA ; +9dBm ; -106dBm ; 63.5mm× 19.0mm× 9.5mm ; 2012 ; USB, JTAG, Debug ; MAC stack ZigBee (BitCloud) 6LoWPAN Atmel 
  Embit ; EMB-WMB169PA, 169MHz webpage datasheet  brochure ; MSP430F534x datasheet ; 16 bit MSP430 ; 10kB / 8kB / 6kB ; 128kB / 96kB / 64kB ; RF Pads, U.FL Connector ; <2μA ; 57mA@  +15dBm ; 27mA (full sens.) ; up to  30dBm ; -122dBm ; 29mm × 22mm ; 2012 ; UART,  SPI,  JTAG ; Wireless M-Bus stack 
  Embit ; EMB-WMB868, 868MHz  webpage  datasheet  brochure ; MSP430F534x datasheet ; 16 bit MSP430 ; 10kB / 8kB / 6kB ; 128kB / 96kB / 64kB ; RF Pads, U.FL Connector ; <2μA ; 57mA@ +15dBm ; 27mA (full sens.) ; 15dBm ; -122dBm ; 29mm × 22mm ; 2012 ; UART,  SPI,  JTAG ; Wireless M-Bus stack 
  Embit ; EMB-Z2530PA, 2.4GHz  webpage  datasheet  brochure ; CC2530 datasheet ; 8 bit 8051 ; 8kB ; 256kB ; PCB Antenna, U.FL Connector, Wire Antenna opt ; <1.1μA ; 135mA@ +20dBm ; 28mA ; 20dBm ; -100dBm ; 29mm × 22mm ; 2011 ; UART,  SPI,  JTAG ; TIMAC (IEEE 802.15.4),  ZStack (ZigBee) 
  Embit ; EMB-ZRF212B, 868MHz, 915MHz  webpage  datasheet  brochure ; ATxmega128D3 datasheet ; 8/16 bit AVR XMEGA ; 8kB ; 128kB ; Ceramic Antenna, U.FL Connector, RF pads ; 1.3μA ; 17mA@ +5dBm ; 10mA ; 10dBm ; –110dBm ; 29mm × 22mm ; 2013 ; UART, SPI,  JTAG ; Atmel Lightweight Mesh,  Atmel MAC (IEEE 802.15.4),  Atmel BitCloud (ZigBee PRO) 
  Embit ; EMB-ZRF231PA, 2.4GHz  webpage  datasheet  brochure ; ATxmega256A3U datasheet ; 8/16 bit AVR XMEGA ; 16kB ; 256kB ; PCB Antenna, U.FL Connector, RF pads ; <1.1μA ; 132mA@ +20dBm ; 24mA ; 20dBm ; -105dBm ; 29mm x 22mm ; 2011 ; UART,  SPI,  JTAG ; Atmel Lightweight Mesh,  Atmel MAC (IEEE 802.15.4),  Atmel BitCloud (ZigBee PRO) 
 FlexiPanel  Ltd ; Pixie  summary  datasheet ; Texas Instruments CC2420  datasheet  errata ; PIC18LF4620 ; 4kB ; 64kB ; integral ; 2μA ; 25mA ; 25mA ; 0dBm ; ; ; Mar, 2008 ; UART,  SPI ; Microchip ZigBee 
 FlexiPanel  Ltd ; Pixie Lite  summary  datasheet ; Texas Instruments CC2420  datasheet  errata ; PIC18LF2520 ; 1.5kB ; 32kB ; integral ; 2μA ; 25mA ; 25mA ; 0dBm ; ; ; Mar, 2008 ; UART,  SPI ; Microchip ZigBee 
 Kirale Technologies ; KTWM102-11 webpage ; Microchip ATSAMR21E19A  webpage ; 32-bit ARM Cortex  -M0+ ; 32kB ; 256kB + 512kB ; on-board chip ; 5μA ; 17mA ; 19mA ; 4dBm ; -104dBm ; 16.6mm× 11.4mm× 2.2mm ; 2018 ; UART,  USB,  JTAG ; KiNOS Thread Certified Stack Atmel 
 Kirale Technologies ; KTWM102-21 webpage ; Microchip ATSAMR21E19A  webpage ; 32-bit ARM Cortex  -M0+ ; 32kB ; 256kB + 512kB ; W.FL connector ; 5μA ; 17mA ; 19mA ; 4dBm ; -104dBm ; 16.6mm× 11.4mm× 2.2mm ; 2018 ; UART,  USB,  JTAG ; KiNOS Thread Certified Stack Atmel 
 MMB  Networks ; Z357PA40  datasheet ; Ember (now Silicon Labs) EM357  Overview  datasheet ; 32-bit  ARM Cortex  M3 ; 12kB ; 192kB on-chip, 512kB on-board ; U.FL, on-board chip ceramic ; 0.65μA ; 175 mA at 20 dBm TX power ; 32 mA ; 20 dBm max.,  software programmable ; -106 dBm ; 34.2mm × 15 mm × 2.88mm ; 2015 ; UART and  SPI ; Ember's (now Silicon Labs')  EmberZNetPRO with MMB's  RapidConnect family of firmware 
 NXP ; JN5168-001-M00  Data sheet ; JN5168  Data sheet ; 32MHz  32-bit  RISC ; 32kB ; 256kB ; on board ; 0.15μA ; 15mA ; 17mA ; 2.5dBm ; -95dBm ; 16mm × 30mm ; 2013 ; UART,  SPI ; JenNet stack  ZigBee stack 
 NXP ; JN5168-001-M03  Data sheet ; JN5168  Data sheet ; 32MHz  32-bit  RISC ; 32kB ; 256kB ; U.FL connector ; 0.15μA ; 15mA ; 17mA ; 2.5dBm ; -95dBm ; 16mm × 30mm ; 2013 ; UART,  SPI ; JenNet stack  ZigBee stack 
 NXP ; JN5168-001-M05  Data sheet ; JN5168  Data sheet ; 32MHz  32-bit  RISC ; 32kB ; 256kB ; U.FL connector ; 0.15μA ; 35mA ; 22mA ; 9.5dBm ; -96dBm ; 16mm x30mm ; 2013 ; UART,  SPI ; JenNet stack  ZigBee stack 
 NXP ; JN5168-001-M06  Data sheet ; JN5168  Data sheet ; 32MHz  32-bit  RISC ; 32kB ; 256kB ; U.FL connector ; 0.15μA ; 175mA ; 22mA ; 22dBm ; -100dBm ; 16mm x30mm ; 2013 ; UART,  SPI ; JenNet stack  ZigBee stack 
 Control Data Systems ; VersaNode 210  datasheet ; MC13224V datasheet ; 32-bit ARM7 ; 96kB ; 128kB ; MMCX Connector ; 15μA ; 60mA ; 21mA ; 10dBm ; -98dBm ; 20mm × 25mm ; 2009 ; UART,  SPI ; Control Data Systems ISA100.11a 
 Panasonic ; PAN4555  datasheet ; MC1321x datasheet ; 8-bit MC9S08GT HC08 ; 4kB ; 60kB ; RF out or ceramic antenna ; 0.25μA, 1.9μA, 36μA, 1.6mA ; 36.5mA ; 37mA ; –4dBm,  0dBm ; –92dBm ; 12.2mm × 16.4mm × 2.2mm ; 2008 ; UART,  SPI ; Freescale Beestack  Synapse SNAP Stack 
 Panasonic ; PAN4561  brochure ; MC13213 datasheet ; 8-bit MC9S08GT HC08 ; 4kB ; 60kB ; SMD RF out, ceramic antenna or U.FL ; 1.6mA, 50μA, 16μA, 2μA ; 202mA ; 45mA ; 20dBm ; –105dBm ; 35mm × 15mm ; Jan, 2009 ; UART,  I²C ; Freescale Beestack  Synapse SNAP Stack 
 Panasonic ; PAN4570  datasheet ; Ember (now Silicon Labs) EM250  factsheet  datasheet ; 16-bit 12MHz  RISC ; 5kB ; 128kB ; SMD RF out, ceramic antenna or U.FL ; 1μA, 1.5μA ; 35.5mA, 41.5mA, 28mA ; 35.5mA, 37.5mA ; 3dBm,  5dBm,  –32dBm ; –97dBm ; 26.5mm × 20mm × 2.8mm ; 2006 ; UART,  SPI,  I²C ; Ember ZNet Stack 
 Radiocrafts ; RC2200  datasheet ; Texas Instruments CC2420 datasheet  errata ; 8-bit  ATmega128 ; 4kB ; 128kB ; integrated, MMCX connector or RF on pin connector ; 23μA, 1.3μA ; 27mA ; 30mA ; 0dBm ; -94dBm ; 16.5mm × 29.2mm × 3.5mm ; 2008 ; UART,  SPI,  JTAG,  ISP ; Texas Instruments Z-stack  or any third-party  ZigBee stack 
 Radiocrafts ; RC2201  datasheet ; Texas Instruments CC2420 datasheet  errata ; 8-bit  ATmega128 ; 8kB ; 128kB ; integrated, MMCX connector or RF on pin connector ; 1.3μA ; 27mA ; 30mA ; 0dBm ; -94dBm ; 16.5mm × 29.2mm × 3.5mm ; 2008 ; UART,  SPI,  JTAG,  ISP ; Texas Instruments Z-stack  or any third-party  ZigBee stack 
 Radiocrafts ; RC2202  datasheet ; Texas Instruments CC2420 datasheet  errata ; 8-bit  ATmega128 ; 2kB ; 32kB ; integrated, MMCX connector or RF on pin connector ; 1.3μA ; 23mA ; 26mA ; 0dBm ; -94dBm ; 16.5mm × 29.2mm × 3.5mm ; 2008 ; UART,  SPI,  JTAG,  ISP ; Texas Instruments Z-stack  or any third-party  ZigBee stack 
 Radiocrafts ; RC2204  datasheet ; Texas Instruments CC2420 datasheet  errata ; 8-bit  ATmega128 ; 4kB ; 64kB ; integrated, MMCX connector or RF on pin connector ; 23μA, 1.3μA ; 27mA ; 30mA ; 0dBm ; -94dBm ; 16.5mm × 29.2mm × 3.5mm ; 2008 ; UART,  SPI,  JTAG,  ISP ; Texas Instruments Z-stack  or any third-party  ZigBee stack 
 Radiocrafts ; RC2201HP  datasheet ; Texas Instruments CC2420 datasheet  errata ; 8-bit  ATmega1281 ; 8kB ; 128kB ; integrated or RF-on-pin connector   ; 40μA, 2μA ; 140mA ; 28mA ; 17dBm ; -92dBm ; 16.5mm × 35.6mm × 3.5mm ; Jan 2008 ; UART,  SPI,  JTAG,  ISP ; Texas Instruments Z-stack  or any third-party  ZigBee stack 
 Radiocrafts ; RC2300  datasheet ; Texas Instruments CC2430  (CC2431  for location  engine option) datasheet errata ; 8-bit 8051 ; 8kB ; 128kB ; integrated or RF-on-pin connector   ; 300μA, 0.9μA, 0.6μA ; 27mA ; 27mA ; 0dBm ; -92dBm ; 12.7mm × 25.4mm × 2.5mm ; Jul 2008 ; UART,  SPI,  proprietary serial  debugging interface ; Texas Instruments Z-stack  or any third-party  ZigBee stack 
 Radiocrafts ; RC2301  datasheet ; Texas Instruments CC2430  (CC2431  for location  engine option) datasheet errata ; 8-bit 8051 ; 8kB ; 128kB ; integrated or RF-on-pin connector   ; 300μA, 0.9μA, 0.6μA ; 27mA ; 27mA ; 0dBm ; -92dBm ; 12.7mm × 25.4mm × 2.5mm ; Jul 2008 ; UART,  SPI,  proprietary serial  debugging interface ; Texas Instruments Z-stack  or any third-party  ZigBee stack 
 Radiocrafts ; RC2302  datasheet ; Texas Instruments CC2430  (CC2431  for location  engine option) datasheet errata ; 8-bit 8051 ; 8kB ; 32kB ; integrated or RF-on-pin connector   ; 300μA, 0.9μA, 0.6μA ; 27mA ; 27mA ; 0dBm ; -92dBm ; 12.7mm × 25.4mm × 2.5mm ; Jul 2008 ; UART,  SPI,  proprietary serial  debugging interface ; Texas Instruments Z-stack  or any third-party  ZigBee stack 
 Radiocrafts ; RC2304  datasheet ; Texas Instruments CC2430  (CC2431  for location  engine option) datasheet errata ; 8-bit 8051 ; 8kB ; 64kB ; integrated or RF-on-pin connector   ; 300μA, 0.9μA, 0.6μA ; 27mA ; 27mA ; 0dBm ; -92dBm ; 12.7mm × 25.4mm × 2.5mm ; Jul 2008 ; UART,  SPI,  proprietary serial  debugging interface ; Texas Instruments Z-stack  or any third-party  ZigBee stack 
 RF Monolithics ; ZMN2405  datasheet ; Texas Instruments CC2430 datasheet  errata ; 8-bit 8051 ; 8kB ; 128kB ; RFIO pad ; 3μA ; 28mA ; 27mA ; 0dBm ; -92 dBm ; 30.5mm × 21.2mm ; 2008 ; UART,  SPI, ; ZigBee stack, RFM's CSM standard module application profile 
 RF Monolithics ; ZMN2430  datasheet ; Texas Instruments CC2430 datasheet  errata ; 8-bit 8051 ; 8kB ; 128kB ; RFIO pad ; 3μA ; 28mA ; 27mA ; 0dBm ; -92 dBm ; 25mm × 20.3mm ; 2008 ; UART,  SPI, ; ZigBee stack, RFM's CSM standard module application profile 
 RF Monolithics ; ZMN2430A  datasheet ; Texas Instruments CC2430 datasheet  errata ; 8-bit 8051 ; 8kB ; 128kB ; built-in ; 3μA ; 28mA ; 27mA ; –2dBm ; –90dBm ; 25mm × 26.9mm ; 2008 ; UART,  SPI, ; ZigBee stack, RFM's CSM standard module application profile 
 RF Monolithics ; ZMN2405HP  datasheet ; Texas Instruments CC2430 datasheet  errata ; 8-bit 8051 ; 8kB ; 128kB ; RFIO pad ; 3μA ; 130mA ; 33mA ; 17dBm ; -95dBm ; 40.6mm × 21.2mm ; 2008 ; UART,  SPI, ; ZigBee stack, RFM's CSM standard module application profile 
 RF Monolithics ; ZMN2405HPA  datasheet ; Texas Instruments CC2430 datasheet  errata ; 8-bit 8051 ; 8kB ; 128kB ; built-in ; 3μA ; 130mA ; 33mA ; 15dBm ; -95dBm ; 47mm × 21.2mm ; 2008 ; UART,  SPI, ; ZigBee stack, RFM's CSM standard module application profile 
 RF Monolithics ; ZMN2430HP  datasheet ; Texas Instruments CC2430 datasheet  errata ; 8-bit 8051 ; 8kB ; 128kB ; RFIO pad ; 3μA ; 130mA ; 33mA ; 17dBm ; -95dBm ; 30.48mm × 25mm ; 2008 ; UART,  SPI, ; ZigBee stack, RFM's CSM standard module application profile 
 RF Monolithics ; ZMN2430HPA  datasheet ; Texas Instruments CC2430 datasheet  errata ; 8-bit 8051 ; 8kB ; 128kB ; built-in ; 3μA ; 130mA ; 33mA ; 15dBm ; -95dBm ; 36.83mm × 25mm ; 2008 ; UART,  SPI, ; ZigBee stack, RFM's CSM standard module application profile 
 Radios, Inc. ; MXR-EM20  datasheet ; Ember 2420  datasheet ; 8-bit  ATmega128L ; 4kB ; 128kB ; RF on pin ; 20μA ; 17.4mA ; 19.7mA ; 0dBm ; –94dBm ; 25.4mm × 18.4mm ; Oct  2005 ; SPI ; ZigBee stack 
 Synapse ; SM220UF1  datasheet ; ATmega128RFA1  datasheet ; 8-bit  ATmega ; 16 kB ; 128 kB ; PCB Antenna and U.FL connector ; 0.4 μA ; 20 dBm: 150 mA 6 dBm: 55 mA ; 22 mA ; 20 dBm ; –103 dBm ; 29.8mm × 19mm ; 2013 ; UART,  SPI,  I²C ; Synapse SNAP Stack 
 Talon Communications ; Oasis  summary  datasheet ; NXP  (formerly Freescale) KW22D512V  datasheet  ; Cortex-M4 ; 64 kB ; 512 kB ; U.FL, MMCX or edge connect to external trace PIFA ; 4uA ; 111 mA ; 24 mA ; 20 dBm ; -108 dBm ; 25mm × 20mm × 2.7mm ; Feb  2015 ; JTAG,  UART,  I²C,  ADC,  SPI,  GPIO,  PWM,  USB ; ZigBee PRO   Thread  SMAC 
 Talon Communications ; Sierra mangOH IoT  datasheet ; NXP  (formerly Freescale) KW22D512V  datasheet  ; Cortex-M4 ; 64 kB ; 512 kB ; RP-SMA, Chip ; 4uA ; 111 mA ; 24 mA ; 20 dBm ; -108 dBm ; 45mm × 22.3mm × 2.7mm ; May 2016 ; JTAG,  UART,  SPI,  GPIO,  USB ; ZigBee PRO   Thread  SMAC 
 Telegesis Ltd ; ETRX2  brochure  datasheet ; Ember  (now Silicon Labs)  EM250 factsheet  datasheet ; 16-bit 12MHz  RISC ; 5kB ; 128kB ; integrated, U.FL connector or 50Ω pad ; 1μA, 1.5μA ; 35.5mA, 41.5mA, 28mA ; 35.5mA, 37.5mA ; 3dBm,  5dBm ; −94dBm,  −95dBm,  −98dBm,  −99dBm ; 37.75mm × 20.45mm ; 2008 ; SIF,  UART,  I²C,  SPI ; Ember ZNet Stack 
 Telegesis Ltd ; ETRX2-PA  brochure  datasheet ; Ember  (now Silicon Labs)  EM250 factsheet  datasheet ; 16-bit 12MHz  RISC ; 5kB ; 128kB ; integrated, U.FL connector or 50Ω pad ; 0.8μA, 1.5μA, 3μA, 3.5μA ; 56mA, 63mA, 106mA, 120mA, 121mA ; 37mA ; 0dBm,  10dBm, 18.5dBm,  17.5dBm ; −92dBm,  −93dBm,  −96dBm,  −97dBm ; 37.75mm × 20.5mm ; 2009 ; SIF,  UART,  I²C,  SPI ; Ember ZNet Stack 
 Telegesis Ltd ; ETRX2USB  brochure  datasheet ; Ember  (now Silicon Labs)  EM250 factsheet  datasheet ; 16-bit 12MHz  RISC ; 5kB ; 128kB ; integrated ; 32mA, 27mA, 26mA ; 55mA, 62mA ; 62mA ; 3dBm,  18dBm ;  ;  ; 2008 ; SIF ; Ember ZNet Stack 
 Telegesis Ltd ; ETRX351  brochure  datasheet ; Silicon Labs  (former Ember)  EM351  factsheet  datasheet ; 32-bit  ARM Cortex  -M3  Processor ; 12kB ; 128kB ; Integrated chip antenna or U.FL coaxial connector ; <1μA ; 31mA ; 22mA ; 8dBm ; −102dBm ; 25mm × 19mm ; 2011 ;  ; Ember ZNet Stack 
 Telegesis Ltd ; ETRX357  brochure  datasheet ; Silicon Labs  (former Ember)  EM357  factsheet  datasheet ; 32-bit  ARM Cortex  -M3  Processor ; 12kB ; 192kB ; Integrated chip antenna or U.FL coaxial connector ; <1μA ; 31mA ; 22mA ; 8dBm ; −102dBm ; 25mm × 19mm ; 2011 ;  ; Ember ZNet Stack 
