 Birth control method ;Brand/common name ; Typical-use failure rate (%) ; Perfect-use failure rate (%) ; Type ; Implementation ; User action required ;Initial Cost ;Cost (per year) 
 Plastic contraceptive sponge with spermicide used by nulliparous ; Today sponge, the sponge ; 12 ; 9 ; Barrier & spermicide ; Vaginal insertion ;  Every act of intercourse ;$0 - $ ;$0 - $ 
 2002 cervical cap and spermicide (discontinued in 2008) used by parous displayauthors = 8 In the effectiveness study of Lea's Shield, 84% of participants were parous.  The unadjusted pregnancy rate in the six-month study was 8.7% among spermicide users and 12.9% among non-spermicide users.  No pregnancies occurred among nulliparous users of the Lea's Shield.  Assuming the effectiveness ratio of nulliparous to parous users is the same for the Lea's Shield as for the Prentif cervical cap and the Today contraceptive sponge, the unadjusted six-month pregnancy rate would be 2.2% for spermicide users and 2.9% for those who used the device without spermicide.  ; Lea's Shield ; 15 (1 of 6) ; no data ; Barrier + spermicide ; Vaginal insertion ;  Every act of intercourse ;$0 - $ ;$0 - $ 
 1988 cervical cap and spermicide (discontinued in 2005) used by nulliparous ; Prentif ; 16 ; 9 ; Barrier + spermicide ; Vaginal insertion ;  Every act of intercourse ;$0 - $ ;$0 - $ 
 Male latex condom ; Condom ; 18 (1 of 5) ; 2 ; Barrier ; Placed on erect penis ;  Every act of intercourse ;$0 - $ ;$0 - $ 
 Female condom ; ;  21 (1 of 4.7) ; 5 ; Barrier ; Vaginal insertion;  Every act of intercourse ;$0 - $ ;$0 - $ 
 Coitus interruptus  ; withdrawal method, pulling out ; 22 (1 of 5) url =   ; 4 ; Behavioral ; Withdrawal ;  Every act of intercourse ;$0 - $ ;$0 - $ 
 Symptoms-based fertility awareness ex. symptothermal and calendar-based methodsNo formal studies meet the standards of Contraceptive Technology for determining typical effectiveness. The typical effectiveness listed here is from the CDC's National Survey of Family Growth, which grouped symptoms-based methods together with calendar-based methods. See Fertility awareness#Effectiveness.The term fertility awareness is sometimes used interchangeably with the term natural family planning (NFP), though NFP usually refers to use of periodic abstinence in accordance with Catholic beliefs. ; TwoDay method, Billings ovulation method, Creighton Model ; 24  (1 of 4) ; 34 ; Behavioral ; Observation and charting of basal body temperature, cervical mucus or cervical position  ; ; Throughout day or dailyUsers may observe one of the three primary fertility signs.  Basal body temperature (BBT) and cervical position are checked once per day.  Cervical mucus is checked before each urination, and vaginal sensation is observed throughout the day.  The observed sign or signs are recorded once per day. 
 Calendar-based methods  ; the rhythm method, Knaus-Ogino method, Standard Days method ; no data ; 5 ; Behavioral ; Calendar-based ;   Daily ;$0 - $ ;$0 - $ 
 Plastic contraceptive sponge with spermicide used by parous ; Today sponge, the sponge ; 24 (1 of 4) ; 20 ; Barrier & spermicide ; Vaginal insertion ;  Every act of intercourse ;$0 - $ ;$0 - $ 
 Spermicidal gel, foam, suppository, or film ;  ; 28 (1 of 4) ; 18 ; Spermicide ; Vaginal insertion ;  Every act of intercourse ;$0 - $ ;$0 - $ 
 1988 cervical cap and spermicide (discontinued in 2005) used by parous ; Prentif ; 32 ; 26 ; Barrier + spermicide ; Vaginal insertion ;  Every act of intercourse ;$0 - $ ;$0 - $ 
 Abstinence pledgeStrictly speaking, abstinence pledges are not a method of birth control, as their purpose is preservation of the virginity of unmarried girls, with prevention of pregnancies only being a side-effect. This also means that they are restricted to the time before marriage.date=December 2017 ; ; 5057.5 (estimated)(1 of 2) ; no data ; Behavioral ; Commitment ;  Once ;$0 - $ ;$0 - $ 
 None (unprotected intercourse) ; ; 85 (6 of 7) ; 85 ; Behavioral ; Discontinuing birth control ;  N/A ;$0 - $ ;$0 
 Placebo doi = 10.1016/0002-9378(69)90142-2  ; ; 100Several factors may contribute to the fact that the placebo was observed to be significantly less effective than unprotected intercourse: 1. The study was not representative, as it only considered women of low socioeconomic level who had aborted spontaneously and desired pregnancy, 2. the placebo may have caused behavioral differences compared to unprotected intercourse: the couples might assume to be protected and thus be less reluctant to have sex and/or be in a different psychological mood that increases fertility via psychosomatic action (all, after about half a year) ; 100 ; Placebo ; Oral medication ;  Daily ;$0 - $ ;$0 - $ 
 Birth control method ;Brand/common name ; Typical-use failure rate (%) ; Perfect-use failure rate (%) ; Type ; Implementation ; User action required ;Initial Cost ;Cost (per year) 
