 Engine ; Origin ; Designer ; Vehicle ; Use ; Propellant ; Specific impulse (s)At sea level if denoted SL, in vacuum otherwise ; Thrust (N)name=VSL ; Mass (kg) ; Thrust:zwspweight ratioWeight is calculated at standard gravity. ; Chamber pressure (bar) ; Oxidiser:zwspfuel ratio  
 RD-170World's most powerful liquid fueled rocket engine11Д521 ; USSR ; NPO Energomash ; Soyuz-U ; 1st ; RP-1/LOX ; 337.2  309.5 (SL) ; 7,904,160  7,256,921 (SL) ; 9,300 ; 79.57 ; 250 ; 
 RD-264  11Д119 ; USSR ; NPO Energomash ; Dnepr  ; 1st ; N2O4/UDMH ; 318293   (SL) ; 4,521,000 ; 3,600 ; 128.15 ; 206 
 RD-275  14Д14 ; RUS ; NPO Energomash ; Proton-M  ; 1st ; N2O4/UDMH ; 316287   (SL) ; 1,831,882  1,671,053 (SL) ; 1,070 ; 171.2 ; 160.0 ; 
 RD-854  8D612 ; USSR ; Pivdenne/Pivdenmash ; R-36ORB ; 3rd ; N2O4/UDMH ; ; ; ; ; 
 RD-855  8D68M ; USSR ; Pivdenne/Pivdenmash ; R-36, Tsyklon-2, Tsyklon-3 ; 1st vernier ; N2O4/UDMH ;  ; 328,000 ; 320 ;  ; 65.70 ; 1.97 
 RD-856  8D69M ; USSR ; Pivdenne/Pivdenmash ; R-36, Tsyklon-2, Tsyklon-3, (Tsyklon-4) ; 2nd vernier ; N2O4/UDMH ;  ; 54,230 ; 112.5 ;  ; 71.60 ; 1.98 
 RD-861  11D25 ; USSR ; Pivdenne/Pivdenmash ; Tsyklon-2, Tsyklon-3 ; 3rd ; N2O4/UDMH ;  ; 78,710 ; 123 ;  ; 88.8 ; 2.1 
 RD-864  15D177 ; USSR ; Pivdenne/Pivdenmash ; R-36 (missile), Dnipro  ; 3rd ; N2O4/UDMH ; 309 high, 298 low ; 20,200 high, 8,450 low ; 199 ;  ; 41 high/17 low ; 1.8 
 RD-869  15D300 ; USSR ; Pivdenne/Pivdenmash ; R-36M ; 3rd ; N2O4/UDMH ; 313 high, 302.3 low ; 20,470 high, 8,580 low ; 196 ;  ; 41 high/17 low ; 1.8 
 Space Shuttle Solid Rocket BoosterLargest solid-fuel rocket motor ever flown, and the first to be used for primary propulsion on human spaceflight missions ; USA ; Thiokol ; Space ShuttleAres I ; Booster ; PBAN/APCP ; 268 ; 14,000,000  12,500,000 (SL) ; 590,000  with fuel ; ; ; 
 SRB-A ; JPN ; IHI AerospaceJAXA ; H-IIA ; Booster ; HTPB ; 280 ; 2,250,000 ; 76,400 with fuel ; ; ; 
 UA1207 ; USA ; United Technologies ; Titan IV ; Booster ; PBAN ; 272245   (SL) ; 7,116,000  6,410,400 (SL) ; 319,330  with fuel ; ; ; 
 Viking 2 ; EUR ; Snecma ; Ariane 1 ; 1st ; N2O4/UDMH ; ; 690,000   611,200 (SL) ; 776 ; 90.67 ; ; 
 Viking 2B ; EUR ; Snecma ; Ariane 2Ariane 3 ; 1st ; N2O4/UH25 ; ; 643,000 (SL) ; 776 ; 84.5 ; ; 
 Viking 4 ; EUR ; Snecma ; Ariane 1 ; 2nd ; N2O4/UDMH ; ; 713,000 ; 826 ; 88 ; ; 
 Viking 4B ; EUR ; Snecma ; Ariane 2Ariane 3Ariane 4 ; 2nd ; N2O4/UH25 ; ; 800,000 ; 826 ; 98.76 ; ; 
 Viking 5C ; EUR ; Snecma ; Ariane 4 ; 1st ; N2O4/UH25 ; ; 758,000  678,000 (SL) ; 826 ; 93.57 ; ; 
 Viking 6 ; EUR ; Snecma ; Ariane 4 ; Booster ; N2O4/UH25 ; ; 750,000 ; 826 ; 92.59 ; ; 
 Vulcain  HM-60 ; EUR ; Snecma ; Ariane 5 ; 1st ; LH2/LOX ; 439326   (SL) ; 1,113,000  773,200 (SL) ; 1,300 ; 84.38 ; 109 ; 
 Waxwing ; UK ; Bristol Aerojet ; Black Arrow ; Upper ;Solid ; 278245   (SL) ; 29,400  25,900 (SL) ; 87 ; 34.48 ; ; 
